,step,env_step,episode,episode_reward,time,env,seed,agent
0,0.0,0.0,0,0.9263129803598316,8.330390691757202,acrobot-swingup,713,REDQ
1,25000.0,25000.0,25,1.644593695534685,1522.526067495346,acrobot-swingup,713,REDQ
2,50000.0,50000.0,50,9.205935489350367,4003.6936519145966,acrobot-swingup,713,REDQ
3,75000.0,75000.0,75,26.63596011159678,6453.820343494415,acrobot-swingup,713,REDQ
4,100000.0,100000.0,100,145.81708675971817,8896.823483228683,acrobot-swingup,713,REDQ
5,125000.0,125000.0,125,150.0657300743926,11343.037594795227,acrobot-swingup,713,REDQ
6,150000.0,150000.0,150,182.78795925732422,13784.770182132721,acrobot-swingup,713,REDQ
7,175000.0,175000.0,175,175.83809193621912,16221.980811357498,acrobot-swingup,713,REDQ
8,200000.0,200000.0,200,356.3218199402119,18665.433884620667,acrobot-swingup,713,REDQ
9,225000.0,225000.0,225,197.46359117690355,21111.0834774971,acrobot-swingup,713,REDQ
10,250000.0,250000.0,250,338.933692304629,23554.768558740616,acrobot-swingup,713,REDQ
11,275000.0,275000.0,275,273.84943903560804,26002.348032474518,acrobot-swingup,713,REDQ
12,300000.0,300000.0,300,158.05857467048435,28445.43534040451,acrobot-swingup,713,REDQ
13,325000.0,325000.0,325,356.4924246503283,30892.53298854828,acrobot-swingup,713,REDQ
14,350000.0,350000.0,350,186.59027962027528,33343.97955560684,acrobot-swingup,713,REDQ
15,375000.0,375000.0,375,304.41982901666927,35802.07193398476,acrobot-swingup,713,REDQ
16,400000.0,400000.0,400,372.28023553889363,38259.887899398804,acrobot-swingup,713,REDQ
17,425000.0,425000.0,425,382.7324216409799,40716.84037017822,acrobot-swingup,713,REDQ
18,450000.0,450000.0,450,206.4508780863563,43159.579621076584,acrobot-swingup,713,REDQ
19,475000.0,475000.0,475,284.03306778503537,45608.35230231285,acrobot-swingup,713,REDQ
20,500000.0,500000.0,500,480.4764346095979,48047.17782354355,acrobot-swingup,713,REDQ
21,525000.0,525000.0,525,397.39734909231373,50498.31260919571,acrobot-swingup,713,REDQ
22,550000.0,550000.0,550,508.00616187039105,52949.32547664642,acrobot-swingup,713,REDQ
23,575000.0,575000.0,575,365.6074454458273,55394.16419458389,acrobot-swingup,713,REDQ
24,600000.0,600000.0,600,503.4831859125523,57841.85181045532,acrobot-swingup,713,REDQ
25,625000.0,625000.0,625,297.07778980542713,60282.68312954903,acrobot-swingup,713,REDQ
26,650000.0,650000.0,650,361.03331652364807,62723.91566777229,acrobot-swingup,713,REDQ
27,675000.0,675000.0,675,484.73671345382934,65171.51769948006,acrobot-swingup,713,REDQ
28,700000.0,700000.0,700,405.1906218384486,67612.83575510979,acrobot-swingup,713,REDQ
29,725000.0,725000.0,725,383.18028292982547,70063.51222229004,acrobot-swingup,713,REDQ
30,750000.0,750000.0,750,455.8329243696418,72517.74338579178,acrobot-swingup,713,REDQ
31,775000.0,775000.0,775,287.3247428940846,74972.7763941288,acrobot-swingup,713,REDQ
32,800000.0,800000.0,800,593.619619438462,77430.23767662048,acrobot-swingup,713,REDQ
