,_step,env_step,episode,episode_reward,step,time,env,seed,agent
0,0,0,0,11.533143729141234,0,11.719135522842407,acrobot-swingup,187,ALM
1,12500,25000,25,3.81016429949634,12500,221.53374004364014,acrobot-swingup,187,ALM
2,25000,50000,50,19.500073923674957,25000,444.1606271266937,acrobot-swingup,187,ALM
3,37500,75000,75,32.34149180096461,37500,668.201000213623,acrobot-swingup,187,ALM
4,50000,100000,100,36.318514755455055,50000,888.0506114959717,acrobot-swingup,187,ALM
5,62500,125000,125,1.2082133217069777,62500,1107.3434672355652,acrobot-swingup,187,ALM
6,75000,150000,150,23.61394282184317,75000,1331.58225607872,acrobot-swingup,187,ALM
7,87500,175000,175,7.706993273820393,87500,1549.0791363716125,acrobot-swingup,187,ALM
8,100000,200000,200,13.433885329101036,100000,1769.1059708595276,acrobot-swingup,187,ALM
9,112500,225000,225,1.2765898943567655,112500,1988.7326745986938,acrobot-swingup,187,ALM
10,125000,250000,250,0.5595731870536906,125000,2207.3696205615997,acrobot-swingup,187,ALM
11,137500,275000,275,19.830393238434972,137500,2428.661819934845,acrobot-swingup,187,ALM
12,150000,300000,300,0.00014469630770472247,150000,2648.449439048767,acrobot-swingup,187,ALM
13,162500,325000,325,1.4596625693826737,162500,2865.2315599918365,acrobot-swingup,187,ALM
14,175000,350000,350,2.4751466980238197,175000,3084.810754776001,acrobot-swingup,187,ALM
15,187500,375000,375,0.0091257723839798,187500,3304.0992937088013,acrobot-swingup,187,ALM
16,200000,400000,400,18.617641394500392,200000,3521.163329601288,acrobot-swingup,187,ALM
17,212500,425000,425,0.2810220633817603,212500,3737.985459804535,acrobot-swingup,187,ALM
18,225000,450000,450,0.838079176727345,225000,3971.5654413700104,acrobot-swingup,187,ALM
19,237500,475000,475,19.20193331042633,237500,4191.611586332321,acrobot-swingup,187,ALM
20,250000,500000,500,22.913740875221514,250000,4407.55303311348,acrobot-swingup,187,ALM
21,262500,525000,525,1.7038054532700464,262500,4626.809993028641,acrobot-swingup,187,ALM
22,275000,550000,550,5.299274601803793,275000,4844.999006271362,acrobot-swingup,187,ALM
23,287500,575000,575,10.621452387680671,287500,5062.040182590485,acrobot-swingup,187,ALM
24,300000,600000,600,6.633024579435963,300000,5280.814034938812,acrobot-swingup,187,ALM
25,312500,625000,625,0.1116812348197945,312500,5501.698197841644,acrobot-swingup,187,ALM
26,325000,650000,650,8.90758303642621,325000,5720.462538957596,acrobot-swingup,187,ALM
27,337500,675000,675,3.5377808332391565,337500,5937.651481389999,acrobot-swingup,187,ALM
28,350000,700000,700,0.5959864923122441,350000,6156.2844133377075,acrobot-swingup,187,ALM
29,362500,725000,725,35.80976847786253,362500,6374.7960431575775,acrobot-swingup,187,ALM
30,375000,750000,750,9.576269507515413,375000,6589.593187570572,acrobot-swingup,187,ALM
31,387500,775000,775,10.936616534414213,387500,6805.701204299927,acrobot-swingup,187,ALM
32,400000,800000,800,1.6064660663109904,400000,7025.251657485962,acrobot-swingup,187,ALM
33,412500,825000,825,1.2026694843803392,412500,7243.073128938675,acrobot-swingup,187,ALM
34,425000,850000,850,6.402156330482875,425000,7461.325531721115,acrobot-swingup,187,ALM
35,437500,875000,875,29.374396298465435,437500,7677.827453136444,acrobot-swingup,187,ALM
36,450000,900000,900,0.0007423154789160804,450000,7900.965214729309,acrobot-swingup,187,ALM
37,462500,925000,925,28.725924578993293,462500,8121.276862621307,acrobot-swingup,187,ALM
38,475000,950000,950,8.24984456246812,475000,8341.936419487,acrobot-swingup,187,ALM
39,487500,975000,975,2.0151694694562754,487500,8561.380896806717,acrobot-swingup,187,ALM
0,0,0,0,1.0357290745071417,0,17.201606512069702,acrobot-swingup,537,ALM
1,12500,25000,25,52.23835374958863,12500,248.4986710548401,acrobot-swingup,537,ALM
2,25000,50000,50,41.14198576298611,25000,499.1153783798218,acrobot-swingup,537,ALM
3,37500,75000,75,39.65918193587536,37500,740.1018035411835,acrobot-swingup,537,ALM
4,50000,100000,100,28.648741744431724,50000,982.2817587852478,acrobot-swingup,537,ALM
5,62500,125000,125,26.22591957112433,62500,1230.5906450748444,acrobot-swingup,537,ALM
6,75000,150000,150,50.13355836926971,75000,1467.0426588058472,acrobot-swingup,537,ALM
7,87500,175000,175,1.3514949243001628,87500,1689.2336208820343,acrobot-swingup,537,ALM
8,100000,200000,200,31.515808878230622,100000,1925.3338875770569,acrobot-swingup,537,ALM
9,112500,225000,225,64.001901914534,112500,2177.7838118076324,acrobot-swingup,537,ALM
10,125000,250000,250,5.03524546361006,125000,2423.231976747513,acrobot-swingup,537,ALM
11,137500,275000,275,7.669448565405936,137500,2671.672524213791,acrobot-swingup,537,ALM
12,150000,300000,300,9.171076372782537,150000,2917.3724949359894,acrobot-swingup,537,ALM
13,162500,325000,325,10.141299799109937,162500,3165.0684101581573,acrobot-swingup,537,ALM
14,175000,350000,350,11.04688198681596,175000,3416.16420173645,acrobot-swingup,537,ALM
15,187500,375000,375,0.6871081679295314,187500,3662.2365601062775,acrobot-swingup,537,ALM
16,200000,400000,400,42.775979969911916,200000,3918.640347957611,acrobot-swingup,537,ALM
17,212500,425000,425,0.6536195706234114,212500,4148.638397693634,acrobot-swingup,537,ALM
18,225000,450000,450,15.92484278558715,225000,4367.983212471008,acrobot-swingup,537,ALM
19,237500,475000,475,15.755542749832426,237500,4589.036217927933,acrobot-swingup,537,ALM
20,250000,500000,500,7.681126082161751,250000,4838.873133420944,acrobot-swingup,537,ALM
21,262500,525000,525,0.10665460852387165,262500,5093.432512044907,acrobot-swingup,537,ALM
22,275000,550000,550,0.3273507530920374,275000,5347.04802942276,acrobot-swingup,537,ALM
23,287500,575000,575,6.062453958844323,287500,5595.682657718658,acrobot-swingup,537,ALM
24,300000,600000,600,4.068260975932704,300000,5843.652624607086,acrobot-swingup,537,ALM
25,312500,625000,625,0.03804525962452841,312500,6091.044024467468,acrobot-swingup,537,ALM
26,325000,650000,650,18.46098560092015,325000,6343.124613523483,acrobot-swingup,537,ALM
27,337500,675000,675,2.2647958255125613,337500,6581.728060722351,acrobot-swingup,537,ALM
28,350000,700000,700,0.3218951216444926,350000,6826.682642698288,acrobot-swingup,537,ALM
29,362500,725000,725,22.486575522749796,362500,7051.398549079895,acrobot-swingup,537,ALM
30,375000,750000,750,5.070440485713808,375000,7267.985531568527,acrobot-swingup,537,ALM
31,387500,775000,775,57.45848348904252,387500,7489.709169149399,acrobot-swingup,537,ALM
32,400000,800000,800,8.19986096724517,400000,7736.416884660721,acrobot-swingup,537,ALM
33,412500,825000,825,23.30351892397612,412500,7988.851932525635,acrobot-swingup,537,ALM
34,425000,850000,850,0.9480382902794705,425000,8243.292637825012,acrobot-swingup,537,ALM
35,437500,875000,875,23.83089005943326,437500,8493.486916542053,acrobot-swingup,537,ALM
36,450000,900000,900,46.767348396342804,450000,8739.713676214218,acrobot-swingup,537,ALM
37,462500,925000,925,38.75659106082175,462500,8991.846631526947,acrobot-swingup,537,ALM
