,step,env_step,episode,episode_reward,time,env,seed,agent
0,0,0,0,0.2543643453341509,11.817171812057495,acrobot-swingup,420,REDQ
1,50000,25000,25,5.755382135741796,259.94957160949707,acrobot-swingup,420,REDQ
2,100000,50000,50,0.6987369240493331,662.6527116298676,acrobot-swingup,420,REDQ
3,150000,75000,75,3.1886595931134707,1091.4831984043121,acrobot-swingup,420,REDQ
4,200000,100000,100,10.398603230640132,1510.1237425804138,acrobot-swingup,420,REDQ
5,250000,125000,125,33.72393352408129,1905.7337419986725,acrobot-swingup,420,REDQ
6,300000,150000,150,66.85823336663469,2302.2834730148315,acrobot-swingup,420,REDQ
7,350000,175000,175,44.694966792948456,2703.3411819934845,acrobot-swingup,420,REDQ
8,400000,200000,200,21.865103098258494,3069.60937666893,acrobot-swingup,420,REDQ
9,450000,225000,225,51.509489935387094,3459.093193054199,acrobot-swingup,420,REDQ
10,500000,250000,250,41.299815115397806,3809.3369262218475,acrobot-swingup,420,REDQ
11,550000,275000,275,109.31844165239156,4228.647749662399,acrobot-swingup,420,REDQ
12,600000,300000,300,34.714883820846104,4580.575112819672,acrobot-swingup,420,REDQ
13,650000,325000,325,178.66998282041214,4929.8826513290405,acrobot-swingup,420,REDQ
14,700000,350000,350,88.67917785850466,5288.958745479584,acrobot-swingup,420,REDQ
15,750000,375000,375,143.64196278523642,5641.6761837005615,acrobot-swingup,420,REDQ
16,800000,400000,400,82.42575806730565,6053.489124536514,acrobot-swingup,420,REDQ
17,850000,425000,425,63.366936098716245,6459.559902906418,acrobot-swingup,420,REDQ
18,900000,450000,450,80.97867399120902,6791.763921260834,acrobot-swingup,420,REDQ
19,950000,475000,475,95.52956506677705,7178.876617670059,acrobot-swingup,420,REDQ
20,1000000,500000,500,126.0766623759747,7513.9840750694275,acrobot-swingup,420,REDQ
21,1050000,525000,525,157.75741015543875,7877.868762731552,acrobot-swingup,420,REDQ
22,1100000,550000,550,100.58577201153781,8291.324857234955,acrobot-swingup,420,REDQ
23,1150000,575000,575,140.47299648873968,8642.81874704361,acrobot-swingup,420,REDQ
24,1200000,600000,600,184.97547348263748,8973.84237408638,acrobot-swingup,420,REDQ
25,1250000,625000,625,69.31600770867192,9307.730192899704,acrobot-swingup,420,REDQ
26,1300000,650000,650,172.74780725948693,9638.62435722351,acrobot-swingup,420,REDQ
27,1350000,675000,675,80.41492776478938,9968.846341609955,acrobot-swingup,420,REDQ
28,1400000,700000,700,197.49410918449652,10301.01903629303,acrobot-swingup,420,REDQ
29,1450000,725000,725,176.04295938305364,10653.620710372925,acrobot-swingup,420,REDQ
30,1500000,750000,750,226.64793716734272,11070.726205825806,acrobot-swingup,420,REDQ
31,1550000,775000,775,159.56704726921467,11449.661255121231,acrobot-swingup,420,REDQ
32,1600000,800000,800,176.00687253301592,11811.606771707535,acrobot-swingup,420,REDQ
33,1650000,825000,825,105.48224756862354,12177.855792760849,acrobot-swingup,420,REDQ
34,1700000,850000,850,248.83667168608343,12545.902534008026,acrobot-swingup,420,REDQ
35,1750000,875000,875,160.77879715763,12913.985321521759,acrobot-swingup,420,REDQ
36,1800000,900000,900,280.4294930339293,13288.181501150131,acrobot-swingup,420,REDQ
37,1850000,925000,925,194.17689179472626,13645.570106744766,acrobot-swingup,420,REDQ
38,1900000,950000,950,244.2701827399945,14011.995540618896,acrobot-swingup,420,REDQ
39,1950000,975000,975,345.3475666121609,14418.994779109955,acrobot-swingup,420,REDQ
0,0,0,0,1.9988099443123155,12.585787773132324,acrobot-swingup,905,REDQ
1,50000,25000,25,5.9524647363518195,214.16406893730164,acrobot-swingup,905,REDQ
2,100000,50000,50,22.528706643838834,588.6096880435944,acrobot-swingup,905,REDQ
3,150000,75000,75,23.56302156443412,924.6386277675629,acrobot-swingup,905,REDQ
4,200000,100000,100,29.98754170191969,1265.636773109436,acrobot-swingup,905,REDQ
5,250000,125000,125,64.87807499004944,1596.1743760108948,acrobot-swingup,905,REDQ
6,300000,150000,150,45.38635143608114,1925.9352159500122,acrobot-swingup,905,REDQ
7,350000,175000,175,84.17577495250056,2262.222948074341,acrobot-swingup,905,REDQ
8,400000,200000,200,154.61734893087277,2595.0475265979767,acrobot-swingup,905,REDQ
9,450000,225000,225,156.29599243755072,2925.2051804065704,acrobot-swingup,905,REDQ
10,500000,250000,250,173.21156432605846,3254.545466899872,acrobot-swingup,905,REDQ
11,550000,275000,275,105.8426431128535,3584.864155769348,acrobot-swingup,905,REDQ
12,600000,300000,300,99.37951319343242,3934.6498007774353,acrobot-swingup,905,REDQ
13,650000,325000,325,131.25594347071979,4269.958926200867,acrobot-swingup,905,REDQ
14,700000,350000,350,168.01536039531692,4616.028375387192,acrobot-swingup,905,REDQ
15,750000,375000,375,151.768562279678,4956.1190457344055,acrobot-swingup,905,REDQ
16,800000,400000,400,199.11973771874815,5288.0601325035095,acrobot-swingup,905,REDQ
17,850000,425000,425,178.3279539845202,5616.923208236694,acrobot-swingup,905,REDQ
18,900000,450000,450,255.43299265711548,5949.702899932861,acrobot-swingup,905,REDQ
19,950000,475000,475,216.0569208770399,6281.987413883209,acrobot-swingup,905,REDQ
20,1000000,500000,500,168.61405108190647,6618.4022533893585,acrobot-swingup,905,REDQ
21,1050000,525000,525,329.82045444463216,6949.945430517197,acrobot-swingup,905,REDQ
22,1100000,550000,550,175.4752822625359,7292.618434667587,acrobot-swingup,905,REDQ
23,1150000,575000,575,264.727480623104,7623.553478240967,acrobot-swingup,905,REDQ
