,step,env_step,episode,episode_reward,time,env,seed,agent
0,0,0,0,1.27675304753326,6.58530330657959,acrobot-swingup,84,SAC
1,50000,25000,25,0.2012700860571981,88.28921151161194,acrobot-swingup,84,SAC
2,100000,50000,50,14.950249711188462,217.37378764152527,acrobot-swingup,84,SAC
3,150000,75000,75,15.879593947446867,346.7632739543915,acrobot-swingup,84,SAC
4,200000,100000,100,19.2543315224968,475.93178153038025,acrobot-swingup,84,SAC
5,250000,125000,125,68.87372158276841,605.9660353660583,acrobot-swingup,84,SAC
6,300000,150000,150,94.1250240423141,736.0810124874115,acrobot-swingup,84,SAC
7,350000,175000,175,92.77483285759317,866.4319360256195,acrobot-swingup,84,SAC
8,400000,200000,200,135.32353217608096,1001.614424943924,acrobot-swingup,84,SAC
9,450000,225000,225,126.57451664545162,1134.8344376087189,acrobot-swingup,84,SAC
10,500000,250000,250,115.12751453173799,1265.658875465393,acrobot-swingup,84,SAC
11,550000,275000,275,234.55621514327527,1395.3159160614014,acrobot-swingup,84,SAC
12,600000,300000,300,205.19428218891804,1525.014508485794,acrobot-swingup,84,SAC
13,650000,325000,325,117.03502499242242,1652.764018535614,acrobot-swingup,84,SAC
14,700000,350000,350,236.25054961313253,1781.8008048534393,acrobot-swingup,84,SAC
15,750000,375000,375,201.65933303546305,1910.5490503311157,acrobot-swingup,84,SAC
16,800000,400000,400,149.5207461183848,2039.931215763092,acrobot-swingup,84,SAC
17,850000,425000,425,113.28874710183474,2168.7664852142334,acrobot-swingup,84,SAC
18,900000,450000,450,200.97251484530045,2297.8307404518127,acrobot-swingup,84,SAC
19,950000,475000,475,179.9240165476202,2427.5684146881104,acrobot-swingup,84,SAC
20,1000000,500000,500,180.955137505059,2557.4523944854736,acrobot-swingup,84,SAC
21,1050000,525000,525,175.65068439768774,2687.244065284729,acrobot-swingup,84,SAC
22,1100000,550000,550,267.5241742767008,2817.7771327495575,acrobot-swingup,84,SAC
23,1150000,575000,575,124.00791933043112,2948.407921552658,acrobot-swingup,84,SAC
24,1200000,600000,600,271.62780332304493,3078.7197453975677,acrobot-swingup,84,SAC
25,1250000,625000,625,191.88010977585827,3208.2437908649445,acrobot-swingup,84,SAC
26,1300000,650000,650,299.9203934679225,3346.4035029411316,acrobot-swingup,84,SAC
27,1350000,675000,675,336.93192248069556,3483.741308927536,acrobot-swingup,84,SAC
28,1400000,700000,700,262.877484935223,3621.4671111106873,acrobot-swingup,84,SAC
29,1450000,725000,725,224.92275928406235,3758.8391757011414,acrobot-swingup,84,SAC
30,1500000,750000,750,257.3082295248163,3896.3346836566925,acrobot-swingup,84,SAC
31,1550000,775000,775,347.5124616725704,4033.8153994083405,acrobot-swingup,84,SAC
32,1600000,800000,800,328.335871974312,4170.104452371597,acrobot-swingup,84,SAC
33,1650000,825000,825,184.1385659593696,4306.412683725357,acrobot-swingup,84,SAC
34,1700000,850000,850,479.1719078420004,4442.986167430878,acrobot-swingup,84,SAC
35,1750000,875000,875,421.53796134029955,4579.842056512833,acrobot-swingup,84,SAC
36,1800000,900000,900,435.3181278269776,4716.536354780197,acrobot-swingup,84,SAC
37,1850000,925000,925,486.8078192920868,4853.367353916168,acrobot-swingup,84,SAC
38,1900000,950000,950,263.2472385335535,4992.747324705124,acrobot-swingup,84,SAC
39,1950000,975000,975,376.97861502209173,5129.236528635025,acrobot-swingup,84,SAC
0,0,0,0,0.013053023525712054,9.55064344406128,acrobot-swingup,347,SAC
1,50000,25000,25,0.994723969983897,143.72834658622742,acrobot-swingup,347,SAC
2,100000,50000,50,2.044202911946355,355.3692934513092,acrobot-swingup,347,SAC
3,150000,75000,75,20.220689911450865,569.600270986557,acrobot-swingup,347,SAC
4,200000,100000,100,6.807236137728758,784.1075310707092,acrobot-swingup,347,SAC
5,250000,125000,125,11.843091379852122,999.8543863296509,acrobot-swingup,347,SAC
6,300000,150000,150,29.829807715757216,1216.1423964500427,acrobot-swingup,347,SAC
7,350000,175000,175,58.04354504026058,1431.9598004817963,acrobot-swingup,347,SAC
8,400000,200000,200,21.157269891234655,1648.5686659812927,acrobot-swingup,347,SAC
9,450000,225000,225,73.8899304434264,1865.7407796382904,acrobot-swingup,347,SAC
10,500000,250000,250,78.8496638215028,2083.8053586483,acrobot-swingup,347,SAC
11,550000,275000,275,68.5106161571342,2302.181660890579,acrobot-swingup,347,SAC
12,600000,300000,300,57.87194555585346,2521.3193464279175,acrobot-swingup,347,SAC
13,650000,325000,325,101.74398890319583,2740.1141245365143,acrobot-swingup,347,SAC
14,700000,350000,350,56.57562329364788,2958.372612953186,acrobot-swingup,347,SAC
15,750000,375000,375,123.87783150850778,3177.686999320984,acrobot-swingup,347,SAC
16,800000,400000,400,144.62087972115336,3397.003383874893,acrobot-swingup,347,SAC
17,850000,425000,425,145.64978365162403,3616.353758096695,acrobot-swingup,347,SAC
18,900000,450000,450,120.7965312408495,3836.1354308128357,acrobot-swingup,347,SAC
19,950000,475000,475,147.9655657406554,4057.5307109355927,acrobot-swingup,347,SAC
20,1000000,500000,500,143.14811673783964,4276.335132360458,acrobot-swingup,347,SAC
21,1050000,525000,525,138.5209204467903,4502.034943342209,acrobot-swingup,347,SAC
22,1100000,550000,550,252.30683366967247,4727.477554321289,acrobot-swingup,347,SAC
23,1150000,575000,575,148.98736324854062,4952.792112112045,acrobot-swingup,347,SAC
24,1200000,600000,600,234.31985402387463,5178.058529853821,acrobot-swingup,347,SAC
25,1250000,625000,625,144.25517776654118,5403.995035648346,acrobot-swingup,347,SAC
26,1300000,650000,650,165.32378832617002,5629.65810418129,acrobot-swingup,347,SAC
27,1350000,675000,675,94.76660112306442,5855.381170988083,acrobot-swingup,347,SAC
28,1400000,700000,700,275.003435363972,6081.475829362869,acrobot-swingup,347,SAC
29,1450000,725000,725,280.31970028810264,6307.782999515533,acrobot-swingup,347,SAC
30,1500000,750000,750,319.95043297755984,6533.813028812408,acrobot-swingup,347,SAC
31,1550000,775000,775,123.4330581447758,6759.911355018616,acrobot-swingup,347,SAC
32,1600000,800000,800,234.33012470519935,6985.69069814682,acrobot-swingup,347,SAC
33,1650000,825000,825,167.47009906975302,7208.166855573654,acrobot-swingup,347,SAC
34,1700000,850000,850,404.63290267454755,7430.444470882416,acrobot-swingup,347,SAC
35,1750000,875000,875,240.51879075331763,7655.9782745838165,acrobot-swingup,347,SAC
36,1800000,900000,900,274.6424995402505,7880.601502418518,acrobot-swingup,347,SAC
37,1850000,925000,925,168.16566428609144,8104.119906663895,acrobot-swingup,347,SAC
38,1900000,950000,950,205.77916750245885,8325.44401717186,acrobot-swingup,347,SAC
39,1950000,975000,975,283.0487755339965,8544.233920097351,acrobot-swingup,347,SAC
0,0,0,0,1.9460481211335943,7.625243663787842,acrobot-swingup,159,SAC
1,50000,25000,25,8.844239940150645,101.28021144866943,acrobot-swingup,159,SAC
2,100000,50000,50,12.231051286550061,250.0724868774414,acrobot-swingup,159,SAC
3,150000,75000,75,18.858122404504503,397.08170914649963,acrobot-swingup,159,SAC
4,200000,100000,100,6.962433695825221,547.859007358551,acrobot-swingup,159,SAC
5,250000,125000,125,60.379208589234814,698.2928564548492,acrobot-swingup,159,SAC
6,300000,150000,150,5.577723501921772,845.8144421577454,acrobot-swingup,159,SAC
7,350000,175000,175,65.02816842111663,994.2660973072052,acrobot-swingup,159,SAC
8,400000,200000,200,52.48278923660305,1142.3803310394287,acrobot-swingup,159,SAC
9,450000,225000,225,82.70353083697326,1290.932851076126,acrobot-swingup,159,SAC
10,500000,250000,250,148.20597073949529,1440.3664512634277,acrobot-swingup,159,SAC
11,550000,275000,275,90.93989903215984,1590.5302577018738,acrobot-swingup,159,SAC
12,600000,300000,300,102.6901363039008,1741.0509927272797,acrobot-swingup,159,SAC
13,650000,325000,325,99.27903666447507,1891.8923103809357,acrobot-swingup,159,SAC
14,700000,350000,350,221.93321981015873,2042.9837362766266,acrobot-swingup,159,SAC
15,750000,375000,375,158.85453501680757,2193.6260714530945,acrobot-swingup,159,SAC
16,800000,400000,400,169.69574600045758,2344.6053552627563,acrobot-swingup,159,SAC
17,850000,425000,425,185.69731577538593,2495.2919805049896,acrobot-swingup,159,SAC
18,900000,450000,450,168.09934543214462,2645.25155377388,acrobot-swingup,159,SAC
19,950000,475000,475,134.63779511022273,2795.762972831726,acrobot-swingup,159,SAC
20,1000000,500000,500,326.1688943000211,2945.7337942123413,acrobot-swingup,159,SAC
21,1050000,525000,525,247.34795179470058,3095.18904709816,acrobot-swingup,159,SAC
22,1100000,550000,550,208.71373924994313,3244.878655910492,acrobot-swingup,159,SAC
23,1150000,575000,575,171.8613479456098,3394.52622795105,acrobot-swingup,159,SAC
24,1200000,600000,600,116.76344800021297,3543.418855190277,acrobot-swingup,159,SAC
25,1250000,625000,625,352.3105378610715,3692.355249643326,acrobot-swingup,159,SAC
26,1300000,650000,650,111.22753957239556,3843.3005182743073,acrobot-swingup,159,SAC
27,1350000,675000,675,318.3135613171279,3987.5577902793884,acrobot-swingup,159,SAC
28,1400000,700000,700,254.62301559789125,4134.117002248764,acrobot-swingup,159,SAC
29,1450000,725000,725,183.50296328922732,4282.475980520248,acrobot-swingup,159,SAC
30,1500000,750000,750,277.1537301250146,4432.0841109752655,acrobot-swingup,159,SAC
31,1550000,775000,775,264.249374736285,4577.882264375687,acrobot-swingup,159,SAC
32,1600000,800000,800,218.23056488649308,4724.7455098629,acrobot-swingup,159,SAC
33,1650000,825000,825,275.00323977981714,4871.394513130188,acrobot-swingup,159,SAC
34,1700000,850000,850,231.63642408923548,5018.7170586586,acrobot-swingup,159,SAC
35,1750000,875000,875,468.74231823058506,5166.854247570038,acrobot-swingup,159,SAC
36,1800000,900000,900,447.93696713819116,5314.564528226852,acrobot-swingup,159,SAC
37,1850000,925000,925,242.59295272665287,5462.023618936539,acrobot-swingup,159,SAC
38,1900000,950000,950,494.1879019942412,5610.331824302673,acrobot-swingup,159,SAC
39,1950000,975000,975,300.08038708038254,5758.44603395462,acrobot-swingup,159,SAC
0,0,0,0,35.83477630340891,6.556031942367554,acrobot-swingup,289,SAC
1,50000,25000,25,0.9869215068899744,90.80034303665161,acrobot-swingup,289,SAC
2,100000,50000,50,10.04786888720377,224.53578567504883,acrobot-swingup,289,SAC
3,150000,75000,75,17.247953198775527,360.25097608566284,acrobot-swingup,289,SAC
4,200000,100000,100,50.89813062029329,496.6956102848053,acrobot-swingup,289,SAC
5,250000,125000,125,98.2808405048989,633.0040793418884,acrobot-swingup,289,SAC
6,300000,150000,150,74.26897802079326,769.4399600028992,acrobot-swingup,289,SAC
7,350000,175000,175,100.69293425212507,905.7563724517822,acrobot-swingup,289,SAC
8,400000,200000,200,52.20359009810604,1041.8386642932892,acrobot-swingup,289,SAC
9,450000,225000,225,42.96375614997798,1178.2969563007355,acrobot-swingup,289,SAC
10,500000,250000,250,87.7383087254764,1314.9980092048645,acrobot-swingup,289,SAC
11,550000,275000,275,52.63113842114965,1452.0373294353485,acrobot-swingup,289,SAC
12,600000,300000,300,120.11424616077161,1588.4037227630615,acrobot-swingup,289,SAC
13,650000,325000,325,68.3552618063457,1725.5380084514618,acrobot-swingup,289,SAC
14,700000,350000,350,167.7845520466047,1863.0591323375702,acrobot-swingup,289,SAC
15,750000,375000,375,86.35998112805903,2001.2483410835266,acrobot-swingup,289,SAC
16,800000,400000,400,176.3594504427063,2139.055336713791,acrobot-swingup,289,SAC
17,850000,425000,425,154.0401172393634,2276.9888813495636,acrobot-swingup,289,SAC
18,900000,450000,450,166.94644998237916,2415.0180020332336,acrobot-swingup,289,SAC
19,950000,475000,475,124.4928119332366,2553.1276733875275,acrobot-swingup,289,SAC
20,1000000,500000,500,120.97068179755017,2691.4721553325653,acrobot-swingup,289,SAC
21,1050000,525000,525,210.42494133152974,2829.5703418254852,acrobot-swingup,289,SAC
22,1100000,550000,550,155.67392640872646,2967.9034378528595,acrobot-swingup,289,SAC
23,1150000,575000,575,228.03765025854787,3106.66929602623,acrobot-swingup,289,SAC
24,1200000,600000,600,175.30876680780014,3245.3902304172516,acrobot-swingup,289,SAC
25,1250000,625000,625,196.80855056501613,3384.004196882248,acrobot-swingup,289,SAC
26,1300000,650000,650,182.4484448900999,3522.5071420669556,acrobot-swingup,289,SAC
27,1350000,675000,675,83.79247033184443,3661.191316843033,acrobot-swingup,289,SAC
28,1400000,700000,700,359.26879090277816,3800.0221095085144,acrobot-swingup,289,SAC
29,1450000,725000,725,355.8415433070105,3940.3209879398346,acrobot-swingup,289,SAC
30,1500000,750000,750,337.61918788763245,4078.4634850025177,acrobot-swingup,289,SAC
31,1550000,775000,775,170.85114112882314,4216.647738933563,acrobot-swingup,289,SAC
32,1600000,800000,800,102.35328982841084,4355.554053783417,acrobot-swingup,289,SAC
33,1650000,825000,825,208.4404565687715,4493.788166999817,acrobot-swingup,289,SAC
34,1700000,850000,850,272.56499793475,4632.431714773178,acrobot-swingup,289,SAC
35,1750000,875000,875,300.9313481420976,4770.999177694321,acrobot-swingup,289,SAC
36,1800000,900000,900,394.2214064103182,4909.8136665821075,acrobot-swingup,289,SAC
37,1850000,925000,925,343.88320397675363,5048.311311244965,acrobot-swingup,289,SAC
38,1900000,950000,950,233.68810612892054,5187.530700683594,acrobot-swingup,289,SAC
39,1950000,975000,975,331.4495061221496,5326.3600561618805,acrobot-swingup,289,SAC
0,0,0,0,0.01906089783114415,6.275731325149536,acrobot-swingup,625,SAC
1,50000,25000,25,7.129808807565253,89.26670861244202,acrobot-swingup,625,SAC
2,100000,50000,50,2.1048087699682836,220.07705545425415,acrobot-swingup,625,SAC
3,150000,75000,75,20.068700783401752,352.11235642433167,acrobot-swingup,625,SAC
4,200000,100000,100,31.374534376981632,484.21719336509705,acrobot-swingup,625,SAC
5,250000,125000,125,31.83970713509795,616.45565533638,acrobot-swingup,625,SAC
6,300000,150000,150,53.63383451246661,748.6211023330688,acrobot-swingup,625,SAC
7,350000,175000,175,30.710777499707273,880.9490988254547,acrobot-swingup,625,SAC
8,400000,200000,200,82.10307622981584,1013.8522591590881,acrobot-swingup,625,SAC
9,450000,225000,225,15.213161643091874,1147.2162773609161,acrobot-swingup,625,SAC
10,500000,250000,250,69.58534479396558,1281.020504951477,acrobot-swingup,625,SAC
11,550000,275000,275,143.74449412865678,1415.1922039985657,acrobot-swingup,625,SAC
12,600000,300000,300,63.8612859596495,1549.6552498340607,acrobot-swingup,625,SAC
13,650000,325000,325,34.203320205114935,1684.8212130069733,acrobot-swingup,625,SAC
14,700000,350000,350,85.2499362524879,1819.5640993118286,acrobot-swingup,625,SAC
15,750000,375000,375,187.53630901647887,1954.3290238380432,acrobot-swingup,625,SAC
16,800000,400000,400,172.39666809695868,2089.598359107971,acrobot-swingup,625,SAC
17,850000,425000,425,287.902719266382,2225.265355825424,acrobot-swingup,625,SAC
18,900000,450000,450,191.26103351996215,2360.5650737285614,acrobot-swingup,625,SAC
19,950000,475000,475,158.94709013805436,2496.307632446289,acrobot-swingup,625,SAC
20,1000000,500000,500,197.64355745371677,2631.4967036247253,acrobot-swingup,625,SAC
21,1050000,525000,525,180.56192717256192,2767.6009278297424,acrobot-swingup,625,SAC
22,1100000,550000,550,198.43768386802486,2903.715648174286,acrobot-swingup,625,SAC
23,1150000,575000,575,172.1036997238273,3039.6427443027496,acrobot-swingup,625,SAC
24,1200000,600000,600,244.99504796092705,3174.773713827133,acrobot-swingup,625,SAC
25,1250000,625000,625,241.7580258993834,3307.8060121536255,acrobot-swingup,625,SAC
26,1300000,650000,650,133.24499023718684,3441.2642529010773,acrobot-swingup,625,SAC
27,1350000,675000,675,234.12537321795872,3574.3919866085052,acrobot-swingup,625,SAC
28,1400000,700000,700,282.8583648665509,3708.37859582901,acrobot-swingup,625,SAC
29,1450000,725000,725,127.24561596584344,3842.063647031784,acrobot-swingup,625,SAC
30,1500000,750000,750,252.38144428839422,3975.842216491699,acrobot-swingup,625,SAC
31,1550000,775000,775,131.8566679161826,4110.0573308467865,acrobot-swingup,625,SAC
32,1600000,800000,800,199.8130368583097,4244.099696159363,acrobot-swingup,625,SAC
33,1650000,825000,825,308.7361378114341,4378.696613311768,acrobot-swingup,625,SAC
34,1700000,850000,850,136.51454228923814,4513.010988473892,acrobot-swingup,625,SAC
35,1750000,875000,875,215.79756728144184,4647.023614883423,acrobot-swingup,625,SAC
36,1800000,900000,900,218.2528681822887,4780.856415748596,acrobot-swingup,625,SAC
37,1850000,925000,925,358.98166532990837,4915.632356405258,acrobot-swingup,625,SAC
38,1900000,950000,950,254.75093014589342,5049.613795995712,acrobot-swingup,625,SAC
39,1950000,975000,975,252.46203233540982,5183.750939369202,acrobot-swingup,625,SAC
0,0,0,0,98.71346834606467,9.938988208770752,fish-swim,840,SAC
1,50000,25000,25,74.3903730630038,139.32435941696167,fish-swim,840,SAC
2,100000,50000,50,93.5288568356113,342.8252098560333,fish-swim,840,SAC
3,150000,75000,75,91.37703198911346,546.4213716983795,fish-swim,840,SAC
4,200000,100000,100,56.37094440522573,751.8392977714539,fish-swim,840,SAC
5,250000,125000,125,79.70107264803708,958.1198790073395,fish-swim,840,SAC
6,300000,150000,150,140.91183661157385,1164.5490701198578,fish-swim,840,SAC
7,350000,175000,175,207.9770811608018,1371.1425457000732,fish-swim,840,SAC
8,400000,200000,200,82.75751590125097,1578.3215346336365,fish-swim,840,SAC
9,450000,225000,225,86.86916233525713,1785.6432077884674,fish-swim,840,SAC
10,500000,250000,250,127.95470051427553,1992.9598252773285,fish-swim,840,SAC
11,550000,275000,275,85.4793065904329,2208.4926674365997,fish-swim,840,SAC
12,600000,300000,300,75.98760021858439,2431.94015789032,fish-swim,840,SAC
13,650000,325000,325,104.72365739495383,2655.5416643619537,fish-swim,840,SAC
14,700000,350000,350,57.38899276797669,2879.5501997470856,fish-swim,840,SAC
15,750000,375000,375,60.22026478709161,3102.6830871105194,fish-swim,840,SAC
16,800000,400000,400,69.43058092468246,3326.0538382530212,fish-swim,840,SAC
17,850000,425000,425,45.579119876347654,3549.496508359909,fish-swim,840,SAC
18,900000,450000,450,100.45314720372224,3773.406998872757,fish-swim,840,SAC
19,950000,475000,475,113.95385835353395,3996.6590156555176,fish-swim,840,SAC
20,1000000,500000,500,74.29806487016691,4215.04328417778,fish-swim,840,SAC
21,1050000,525000,525,107.88168436192227,4436.987686395645,fish-swim,840,SAC
22,1100000,550000,550,61.3123536999485,4658.604798793793,fish-swim,840,SAC
23,1150000,575000,575,63.58304005971864,4880.604378461838,fish-swim,840,SAC
24,1200000,600000,600,91.7713416530173,5102.741006135941,fish-swim,840,SAC
25,1250000,625000,625,100.00324150578271,5324.542468547821,fish-swim,840,SAC
26,1300000,650000,650,68.48714603445248,5547.155730485916,fish-swim,840,SAC
27,1350000,675000,675,60.32867573100183,5769.277588605881,fish-swim,840,SAC
28,1400000,700000,700,74.3556541563195,5991.473273992538,fish-swim,840,SAC
29,1450000,725000,725,68.58660223124748,6213.992711782455,fish-swim,840,SAC
30,1500000,750000,750,93.10795672278849,6436.562406778336,fish-swim,840,SAC
31,1550000,775000,775,58.530553569376664,6658.793045043945,fish-swim,840,SAC
32,1600000,800000,800,92.3593975432517,6881.453090906143,fish-swim,840,SAC
33,1650000,825000,825,50.59426074456236,7104.325845003128,fish-swim,840,SAC
34,1700000,850000,850,57.4637268733541,7327.447487354279,fish-swim,840,SAC
35,1750000,875000,875,72.3853636594576,7550.496520757675,fish-swim,840,SAC
36,1800000,900000,900,68.50936185252071,7773.608168363571,fish-swim,840,SAC
37,1850000,925000,925,92.84933109323285,7993.643164396286,fish-swim,840,SAC
38,1900000,950000,950,96.40237586450036,8211.447845220566,fish-swim,840,SAC
