,_step,env_step,episode,episode_reward,time,env,seed,agent
0,0,1000.0,0,36.277656654147364,5.1760783195495605,acrobot-swingup,2919,TD3
1,17,26000.0,25,47.161795996361356,53.263731241226196,acrobot-swingup,2919,TD3
2,43,51000.0,50,65.69629654516261,122.30704164505005,acrobot-swingup,2919,TD3
3,69,76000.0,75,110.71195920729292,192.1343264579773,acrobot-swingup,2919,TD3
4,95,101000.0,100,95.37622955008791,262.4028408527374,acrobot-swingup,2919,TD3
5,121,126000.0,125,62.05564367451982,332.8579478263855,acrobot-swingup,2919,TD3
6,147,151000.0,150,131.2241927742352,402.8961546421051,acrobot-swingup,2919,TD3
7,173,176000.0,175,148.0148006333755,473.4144685268402,acrobot-swingup,2919,TD3
8,199,201000.0,200,207.53519964528954,543.5274126529694,acrobot-swingup,2919,TD3
9,225,226000.0,225,214.38779938972007,613.8459129333496,acrobot-swingup,2919,TD3
10,251,251000.0,250,264.7378138784162,684.7649335861206,acrobot-swingup,2919,TD3
11,277,276000.0,275,225.3678006982615,755.4016270637512,acrobot-swingup,2919,TD3
12,303,301000.0,300,372.2868718884199,826.0212078094482,acrobot-swingup,2919,TD3
13,329,326000.0,325,265.21206596020255,897.0219261646271,acrobot-swingup,2919,TD3
14,355,351000.0,350,260.41329827581336,967.2232239246368,acrobot-swingup,2919,TD3
15,381,376000.0,375,293.4606672316335,1037.8482565879822,acrobot-swingup,2919,TD3
16,407,401000.0,400,324.79809392753316,1108.9887611865997,acrobot-swingup,2919,TD3
17,433,426000.0,425,396.7574096132288,1179.349070072174,acrobot-swingup,2919,TD3
18,459,451000.0,450,368.5427724203903,1250.288684129715,acrobot-swingup,2919,TD3
19,485,476000.0,475,387.4048586596181,1320.7297956943512,acrobot-swingup,2919,TD3
20,511,501000.0,500,364.2888778146449,1391.1959540843964,acrobot-swingup,2919,TD3
21,537,526000.0,525,362.65828705579895,1461.8260293006897,acrobot-swingup,2919,TD3
22,563,551000.0,550,404.25774888836906,1531.6406345367432,acrobot-swingup,2919,TD3
23,589,576000.0,575,327.95306084035053,1602.3167235851288,acrobot-swingup,2919,TD3
24,615,601000.0,600,391.599443514563,1672.6598317623138,acrobot-swingup,2919,TD3
25,641,626000.0,625,389.10751075843535,1742.7559623718262,acrobot-swingup,2919,TD3
26,667,651000.0,650,479.8376041180706,1813.5816459655762,acrobot-swingup,2919,TD3
27,693,676000.0,675,363.9816676671861,1884.538901567459,acrobot-swingup,2919,TD3
28,719,701000.0,700,422.2431546012146,1955.1256847381592,acrobot-swingup,2919,TD3
29,745,726000.0,725,462.55356678804475,2025.3527030944824,acrobot-swingup,2919,TD3
30,771,751000.0,750,391.91987361275824,2096.265250682831,acrobot-swingup,2919,TD3
31,797,776000.0,775,382.53846761446266,2166.700391769409,acrobot-swingup,2919,TD3
32,823,801000.0,800,363.2483090748847,2237.577322244644,acrobot-swingup,2919,TD3
33,849,826000.0,825,479.37725583008176,2308.4685277938843,acrobot-swingup,2919,TD3
34,875,851000.0,850,384.529261833906,2378.5180773735046,acrobot-swingup,2919,TD3
35,901,876000.0,875,488.0000885751222,2448.880052804947,acrobot-swingup,2919,TD3
36,927,901000.0,900,439.37245944149316,2519.5697803497314,acrobot-swingup,2919,TD3
37,953,926000.0,925,538.1175688418759,2589.8883440494537,acrobot-swingup,2919,TD3
38,979,951000.0,950,472.7703452281182,2661.461192369461,acrobot-swingup,2919,TD3
39,1005,976000.0,975,490.2785544516843,2731.9745864868164,acrobot-swingup,2919,TD3
40,1031,1001000.0,1000,565.8317446541782,2802.298198223114,acrobot-swingup,2919,TD3
0,0,1000.0,0,5.567574883001514,4.797881603240967,acrobot-swingup,9234,TD3
1,17,26000.0,25,11.652712140304676,49.65435266494751,acrobot-swingup,9234,TD3
2,43,51000.0,50,17.932696998918935,114.36390376091003,acrobot-swingup,9234,TD3
