,_step,env_step,episode,episode_reward,step,time,env,seed,agent
0,0,0,1,5.766007324355273,0,0.5924444198608398,acrobot-swingup,126,TD-MPC
1,25000,25000,26,11.270053633729145,12500,140.36086511611938,acrobot-swingup,126,TD-MPC
2,50000,50000,51,15.536271054920727,25000,338.79449677467346,acrobot-swingup,126,TD-MPC
3,75000,75000,76,25.198718491932357,37500,554.8085899353027,acrobot-swingup,126,TD-MPC
4,100000,100000,101,39.73551963258053,50000,792.618861913681,acrobot-swingup,126,TD-MPC
5,125000,125000,126,12.283112252670723,62500,1092.6652743816376,acrobot-swingup,126,TD-MPC
6,150000,150000,151,20.03812757023429,75000,1377.4239656925201,acrobot-swingup,126,TD-MPC
7,175000,175000,176,47.79428680375925,87500,1688.1024610996246,acrobot-swingup,126,TD-MPC
8,200000,200000,201,8.864839047907193,100000,1980.7801406383514,acrobot-swingup,126,TD-MPC
9,225000,225000,226,52.4824615182211,112500,2248.4966015815735,acrobot-swingup,126,TD-MPC
10,250000,250000,251,166.62130997168288,125000,2536.613995075226,acrobot-swingup,126,TD-MPC
11,275000,275000,276,54.813238638851814,137500,2830.4273109436035,acrobot-swingup,126,TD-MPC
12,300000,300000,301,293.6900363712979,150000,3116.2729365825653,acrobot-swingup,126,TD-MPC
13,325000,325000,326,118.10466814710954,162500,3391.405985355377,acrobot-swingup,126,TD-MPC
14,350000,350000,351,88.78746516763496,175000,3663.7379887104034,acrobot-swingup,126,TD-MPC
15,375000,375000,376,230.3993470795355,187500,3934.291136741638,acrobot-swingup,126,TD-MPC
16,400000,400000,401,330.3526726152689,200000,4197.575261592865,acrobot-swingup,126,TD-MPC
17,425000,425000,426,185.5089970886316,212500,4483.603173017502,acrobot-swingup,126,TD-MPC
18,450000,450000,451,180.67202674117078,225000,4747.835926294327,acrobot-swingup,126,TD-MPC
19,475000,475000,476,295.2657175676908,237500,5029.940455675125,acrobot-swingup,126,TD-MPC
20,500000,500000,501,233.4559584812896,250000,5339.8370406627655,acrobot-swingup,126,TD-MPC
21,525000,525000,526,161.16096810814392,262500,5638.2024965286255,acrobot-swingup,126,TD-MPC
22,550000,550000,551,381.4489571876804,275000,5924.647387981415,acrobot-swingup,126,TD-MPC
23,575000,575000,576,311.1359213678891,287500,6228.226365327835,acrobot-swingup,126,TD-MPC
24,600000,600000,601,384.35544117253266,300000,6537.3303236961365,acrobot-swingup,126,TD-MPC
25,625000,625000,626,166.23849920326748,312500,6829.4912259578705,acrobot-swingup,126,TD-MPC
26,650000,650000,651,372.4858369482322,325000,7140.269564628601,acrobot-swingup,126,TD-MPC
27,675000,675000,676,262.8579225640494,337500,7412.974406003952,acrobot-swingup,126,TD-MPC
28,700000,700000,701,188.8997135547569,350000,7698.628859758377,acrobot-swingup,126,TD-MPC
29,725000,725000,726,383.43149113617966,362500,7980.256924390793,acrobot-swingup,126,TD-MPC
30,750000,750000,751,245.19656685480905,375000,8272.12910938263,acrobot-swingup,126,TD-MPC
31,775000,775000,776,357.1497160931151,387500,8548.719110012054,acrobot-swingup,126,TD-MPC
32,800000,800000,801,238.1688365093868,400000,8828.233621835709,acrobot-swingup,126,TD-MPC
33,825000,825000,826,397.8366656493535,412500,9114.453708410263,acrobot-swingup,126,TD-MPC
34,850000,850000,851,343.8371224791806,425000,9422.386485338211,acrobot-swingup,126,TD-MPC
35,875000,875000,876,322.9462807696335,437500,9730.40120267868,acrobot-swingup,126,TD-MPC
36,900000,900000,901,163.15185079800102,450000,10009.09309220314,acrobot-swingup,126,TD-MPC
37,925000,925000,926,307.57508318459435,462500,10259.790426015854,acrobot-swingup,126,TD-MPC
38,950000,950000,951,495.87908283263624,475000,10547.650829315186,acrobot-swingup,126,TD-MPC
39,975000,975000,976,338.7483595277069,487500,10842.37860417366,acrobot-swingup,126,TD-MPC
40,1000000,1000000,1001,347.6556625592028,500000,11148.626499414444,acrobot-swingup,126,TD-MPC
0,0,0,1,1.6312748499394327,0,0.5147175788879395,acrobot-swingup,516,TD-MPC
1,25000,25000,26,12.64073128872656,12500,134.54187941551208,acrobot-swingup,516,TD-MPC
2,50000,50000,51,29.10767510344659,25000,327.4906413555145,acrobot-swingup,516,TD-MPC
3,75000,75000,76,34.01205401404924,37500,538.1449289321899,acrobot-swingup,516,TD-MPC
4,100000,100000,101,53.02932833522988,50000,764.5820252895355,acrobot-swingup,516,TD-MPC
5,125000,125000,126,149.1101609397801,62500,1009.648268699646,acrobot-swingup,516,TD-MPC
6,150000,150000,151,38.901377368824924,75000,1254.952362537384,acrobot-swingup,516,TD-MPC
7,175000,175000,176,85.30547179207497,87500,1498.271279335022,acrobot-swingup,516,TD-MPC
8,200000,200000,201,92.72799356133268,100000,1739.8356993198395,acrobot-swingup,516,TD-MPC
9,225000,225000,226,208.53056838161496,112500,1982.9068505764008,acrobot-swingup,516,TD-MPC
10,250000,250000,251,198.393509713639,125000,2225.9315469264984,acrobot-swingup,516,TD-MPC
11,275000,275000,276,56.45992794546419,137500,2470.822423696518,acrobot-swingup,516,TD-MPC
12,300000,300000,301,172.87761666236003,150000,2716.1981036663055,acrobot-swingup,516,TD-MPC
13,325000,325000,326,282.56367570093744,162500,2957.618873357773,acrobot-swingup,516,TD-MPC
14,350000,350000,351,304.6687727357914,175000,3198.878174304962,acrobot-swingup,516,TD-MPC
15,375000,375000,376,251.20918536667327,187500,3440.547012090683,acrobot-swingup,516,TD-MPC
16,400000,400000,401,340.16084556697933,200000,3682.644343852997,acrobot-swingup,516,TD-MPC
17,425000,425000,426,242.24196329026708,212500,3927.69398522377,acrobot-swingup,516,TD-MPC
18,450000,450000,451,364.86353377664415,225000,4172.915313720703,acrobot-swingup,516,TD-MPC
19,475000,475000,476,295.6236786415847,237500,4415.883266210556,acrobot-swingup,516,TD-MPC
20,500000,500000,501,394.86501534134896,250000,4659.5052263736725,acrobot-swingup,516,TD-MPC
21,525000,525000,526,353.8767657302484,262500,4903.796370983124,acrobot-swingup,516,TD-MPC
22,550000,550000,551,189.3749529164633,275000,5148.324209213257,acrobot-swingup,516,TD-MPC
23,575000,575000,576,203.60988902527018,287500,5392.551889419556,acrobot-swingup,516,TD-MPC
24,600000,600000,601,325.0468323709636,300000,5637.133494615555,acrobot-swingup,516,TD-MPC
25,625000,625000,626,276.846569847214,312500,5881.850200891495,acrobot-swingup,516,TD-MPC
26,650000,650000,651,421.26300078049064,325000,6126.66832447052,acrobot-swingup,516,TD-MPC
27,675000,675000,676,402.49254415929164,337500,6370.232181787491,acrobot-swingup,516,TD-MPC
28,700000,700000,701,469.4805959849291,350000,6615.165845632553,acrobot-swingup,516,TD-MPC
29,725000,725000,726,343.94494102678254,362500,6861.2370138168335,acrobot-swingup,516,TD-MPC
30,750000,750000,751,315.35888078316503,375000,7107.895449876785,acrobot-swingup,516,TD-MPC
31,775000,775000,776,422.1638834947647,387500,7354.512713193893,acrobot-swingup,516,TD-MPC
32,800000,800000,801,346.9102737670956,400000,7601.898868560791,acrobot-swingup,516,TD-MPC
33,825000,825000,826,396.81116941017893,412500,7853.92323923111,acrobot-swingup,516,TD-MPC
34,850000,850000,851,410.0888075478527,425000,8101.218825340271,acrobot-swingup,516,TD-MPC
35,875000,875000,876,429.372514125767,437500,8347.18785238266,acrobot-swingup,516,TD-MPC
36,900000,900000,901,372.5908843969261,450000,8590.766587257385,acrobot-swingup,516,TD-MPC
37,925000,925000,926,459.8525002761374,462500,8833.924463748932,acrobot-swingup,516,TD-MPC
38,950000,950000,951,470.7938693045129,475000,9077.558323144913,acrobot-swingup,516,TD-MPC
39,975000,975000,976,447.87654859866615,487500,9320.711057424545,acrobot-swingup,516,TD-MPC
40,1000000,1000000,1001,401.4320439062499,500000,9565.220714092255,acrobot-swingup,516,TD-MPC
0,0,0,1,3.7173409090134593,0,0.2250828742980957,acrobot-swingup,916,TD-MPC
1,25000,25000,26,0.2520110657142226,12500,129.4630525112152,acrobot-swingup,916,TD-MPC
2,50000,50000,51,32.06591635214899,25000,316.25359177589417,acrobot-swingup,916,TD-MPC
3,75000,75000,76,37.97865122960351,37500,525.022381067276,acrobot-swingup,916,TD-MPC
4,100000,100000,101,16.456729026879167,50000,747.9971606731415,acrobot-swingup,916,TD-MPC
5,125000,125000,126,48.42804600505944,62500,986.9419310092926,acrobot-swingup,916,TD-MPC
6,150000,150000,151,54.50350662213556,75000,1223.0143537521362,acrobot-swingup,916,TD-MPC
7,175000,175000,176,78.77540590189942,87500,1464.9421446323395,acrobot-swingup,916,TD-MPC
8,200000,200000,201,70.92661309588675,100000,1706.352830171585,acrobot-swingup,916,TD-MPC
9,225000,225000,226,85.2481409176403,112500,1948.2820980548859,acrobot-swingup,916,TD-MPC
10,250000,250000,251,34.15205251481117,125000,2185.7389731407166,acrobot-swingup,916,TD-MPC
11,275000,275000,276,59.50284724937851,137500,2423.2500751018524,acrobot-swingup,916,TD-MPC
12,300000,300000,301,51.43902605875667,150000,2660.3748564720154,acrobot-swingup,916,TD-MPC
13,325000,325000,326,182.2919757898182,162500,2902.247370481491,acrobot-swingup,916,TD-MPC
14,350000,350000,351,53.342455592203045,175000,3146.1647577285767,acrobot-swingup,916,TD-MPC
15,375000,375000,376,177.71737183969051,187500,3383.947799682617,acrobot-swingup,916,TD-MPC
16,400000,400000,401,144.41140847576239,200000,3621.7886192798615,acrobot-swingup,916,TD-MPC
17,425000,425000,426,256.3463131145703,212500,3861.9197058677673,acrobot-swingup,916,TD-MPC
18,450000,450000,451,129.22865560859555,225000,4111.561537027359,acrobot-swingup,916,TD-MPC
19,475000,475000,476,146.62516458044442,237500,4355.400094985962,acrobot-swingup,916,TD-MPC
20,500000,500000,501,113.61549089072346,250000,4595.5091960430145,acrobot-swingup,916,TD-MPC
21,525000,525000,526,182.9795761861051,262500,4835.529468536377,acrobot-swingup,916,TD-MPC
22,550000,550000,551,222.8046797634047,275000,5081.627654075623,acrobot-swingup,916,TD-MPC
23,575000,575000,576,326.6413043718384,287500,5322.3048849105835,acrobot-swingup,916,TD-MPC
24,600000,600000,601,189.58788767014536,300000,5563.247948169708,acrobot-swingup,916,TD-MPC
25,625000,625000,626,228.80343936186392,312500,5810.5208132267,acrobot-swingup,916,TD-MPC
26,650000,650000,651,264.0068461802906,325000,6056.215898275375,acrobot-swingup,916,TD-MPC
27,675000,675000,676,232.52752932997728,337500,6304.652449607849,acrobot-swingup,916,TD-MPC
28,700000,700000,701,401.0835320311975,350000,6552.905458688736,acrobot-swingup,916,TD-MPC
29,725000,725000,726,164.77636320355123,362500,6801.063234806061,acrobot-swingup,916,TD-MPC
30,750000,750000,751,181.00165087872205,375000,7046.800856590271,acrobot-swingup,916,TD-MPC
31,775000,775000,776,481.81515275425517,387500,7295.849203586578,acrobot-swingup,916,TD-MPC
32,800000,800000,801,237.86433734208293,400000,7546.807937145233,acrobot-swingup,916,TD-MPC
33,825000,825000,826,434.45811761977404,412500,7790.240556716919,acrobot-swingup,916,TD-MPC
34,850000,850000,851,368.19717009135485,425000,8037.425623416901,acrobot-swingup,916,TD-MPC
