,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
0,120,15000,0,2.570194590091705,0,0,0,hopper-stand,1,no-norm,1
1,232,20000,0,1.140442395210266,0,0,0,hopper-stand,1,no-norm,1
2,344,25000,0,5.434210634231567,0,0,0,hopper-stand,1,no-norm,1
3,456,30000,0,4.479469358921051,0,0,0,hopper-stand,1,no-norm,1
4,568,35000,0,2.323629695177078,0,0,0,hopper-stand,1,no-norm,1
5,680,40000,0,0.0,0,0,0,hopper-stand,1,no-norm,1
6,792,45000,0,2.392427867650986,0,0,0,hopper-stand,1,no-norm,1
7,904,50000,0,2.515251451730728,0,0,0,hopper-stand,1,no-norm,1
8,1016,55000,0,13.288964039087295,0,0,0,hopper-stand,1,no-norm,1
9,1128,60000,0,76.89624992012978,0,0,0,hopper-stand,1,no-norm,1
10,1240,65000,0,58.93398073911667,0,0,0,hopper-stand,1,no-norm,1
11,1352,70000,0,25.83769046664238,0,0,0,hopper-stand,1,no-norm,1
12,1464,75000,0,362.0159656465054,0,0,0,hopper-stand,1,no-norm,1
13,1576,80000,0,253.88975136876107,0,0,0,hopper-stand,1,no-norm,1
14,1688,85000,0,372.9634201169014,0,0,0,hopper-stand,1,no-norm,1
15,1800,90000,0,707.0799989342689,0,0,0,hopper-stand,1,no-norm,1
16,1912,95000,0,606.8701685845851,0,0,0,hopper-stand,1,no-norm,1
17,2024,100000,0,814.4451569437981,0,0,0,hopper-stand,1,no-norm,1
18,2136,105000,0,780.5253184556962,0,0,0,hopper-stand,1,no-norm,1
19,2248,110000,0,802.8793814003468,0,0,0,hopper-stand,1,no-norm,1
20,2360,115000,0,660.2237050771713,0,0,0,hopper-stand,1,no-norm,1
21,2472,120000,0,852.2106485843658,0,0,0,hopper-stand,1,no-norm,1
22,2584,125000,0,916.1921217441559,0,0,0,hopper-stand,1,no-norm,1
23,2696,130000,0,794.6601253449917,0,0,0,hopper-stand,1,no-norm,1
24,2808,135000,0,903.6363341867924,0,0,0,hopper-stand,1,no-norm,1
25,2920,140000,0,909.0781248688697,0,0,0,hopper-stand,1,no-norm,1
26,3032,145000,0,779.5653255462646,0,0,0,hopper-stand,1,no-norm,1
27,3144,150000,0,780.0253214240074,0,0,0,hopper-stand,1,no-norm,1
28,3256,155000,0,725.8193056881428,0,0,0,hopper-stand,1,no-norm,1
29,3368,160000,0,890.6125510454178,0,0,0,hopper-stand,1,no-norm,1
30,3480,165000,0,726.8075302660466,0,0,0,hopper-stand,1,no-norm,1
31,3592,170000,0,821.604651015997,0,0,0,hopper-stand,1,no-norm,1
32,3704,175000,0,815.9411611258984,0,0,0,hopper-stand,1,no-norm,1
33,3816,180000,0,906.1241558015347,0,0,0,hopper-stand,1,no-norm,1
34,3928,185000,0,910.3422395884991,0,0,0,hopper-stand,1,no-norm,1
35,4040,190000,0,907.2689027130604,0,0,0,hopper-stand,1,no-norm,1
36,4152,195000,0,922.6656796276569,0,0,0,hopper-stand,1,no-norm,1
37,4264,200000,0,920.1771599054337,0,0,0,hopper-stand,1,no-norm,1
38,4376,205000,0,898.9485814273357,0,0,0,hopper-stand,1,no-norm,1
39,4488,210000,0,931.0278050839901,0,0,0,hopper-stand,1,no-norm,1
40,4600,215000,0,937.5392997086049,0,0,0,hopper-stand,1,no-norm,1
41,4712,220000,0,878.4762809157371,0,0,0,hopper-stand,1,no-norm,1
42,4824,225000,0,921.434226745367,0,0,0,hopper-stand,1,no-norm,1
43,4936,230000,0,716.4353072881698,0,0,0,hopper-stand,1,no-norm,1
44,5048,235000,0,903.0174250900745,0,0,0,hopper-stand,1,no-norm,1
45,5160,240000,0,811.3222313344479,0,0,0,hopper-stand,1,no-norm,1
46,5272,245000,0,904.1089547216892,0,0,0,hopper-stand,1,no-norm,1
47,5384,250000,0,917.4923523366451,0,0,0,hopper-stand,1,no-norm,1
48,5496,255000,0,906.8424932062626,0,0,0,hopper-stand,1,no-norm,1
49,5608,260000,0,910.899366992712,0,0,0,hopper-stand,1,no-norm,1
50,5720,265000,0,854.4698119103908,0,0,0,hopper-stand,1,no-norm,1
51,5832,270000,0,921.4095760822296,0,0,0,hopper-stand,1,no-norm,1
52,5944,275000,0,924.3706120371819,0,0,0,hopper-stand,1,no-norm,1
53,6056,280000,0,917.273266029358,0,0,0,hopper-stand,1,no-norm,1
54,6168,285000,0,926.6729241013527,0,0,0,hopper-stand,1,no-norm,1
55,6280,290000,0,917.7024138212204,0,0,0,hopper-stand,1,no-norm,1
56,6392,295000,0,912.2351637542248,0,0,0,hopper-stand,1,no-norm,1
57,6504,300000,0,918.3645648479462,0,0,0,hopper-stand,1,no-norm,1
58,6616,305000,0,921.1277153253556,0,0,0,hopper-stand,1,no-norm,1
59,6728,310000,0,928.0838897645474,0,0,0,hopper-stand,1,no-norm,1
60,6840,315000,0,916.0938527941704,0,0,0,hopper-stand,1,no-norm,1
61,6952,320000,0,818.0916894674301,0,0,0,hopper-stand,1,no-norm,1
62,7064,325000,0,923.0722454428673,0,0,0,hopper-stand,1,no-norm,1
63,7176,330000,0,911.5991648495198,0,0,0,hopper-stand,1,no-norm,1
64,7288,335000,0,922.0310296773911,0,0,0,hopper-stand,1,no-norm,1
65,7400,340000,0,919.0713002145291,0,0,0,hopper-stand,1,no-norm,1
66,7512,345000,0,927.5802088856697,0,0,0,hopper-stand,1,no-norm,1
67,7624,350000,0,920.1785805046559,0,0,0,hopper-stand,1,no-norm,1
68,7736,355000,0,904.169022589922,0,0,0,hopper-stand,1,no-norm,1
69,7848,360000,0,925.9999343633651,0,0,0,hopper-stand,1,no-norm,1
70,7960,365000,0,924.2345183074474,0,0,0,hopper-stand,1,no-norm,1
71,8072,370000,0,925.9501385211945,0,0,0,hopper-stand,1,no-norm,1
72,8184,375000,0,924.2109007298947,0,0,0,hopper-stand,1,no-norm,1
73,8296,380000,0,917.2793973743916,0,0,0,hopper-stand,1,no-norm,1
74,8408,385000,0,920.3874208569526,0,0,0,hopper-stand,1,no-norm,1
75,8520,390000,0,910.21902987957,0,0,0,hopper-stand,1,no-norm,1
76,8632,395000,0,923.093432533741,0,0,0,hopper-stand,1,no-norm,1
77,8744,400000,0,917.8851119041443,0,0,0,hopper-stand,1,no-norm,1
78,8856,405000,0,902.262943148613,0,0,0,hopper-stand,1,no-norm,1
79,8968,410000,0,926.517899286747,0,0,0,hopper-stand,1,no-norm,1
80,9080,415000,0,912.4021408617497,0,0,0,hopper-stand,1,no-norm,1
81,9192,420000,0,917.5825020313263,0,0,0,hopper-stand,1,no-norm,1
82,9304,425000,0,917.7133430719375,0,0,0,hopper-stand,1,no-norm,1
83,9416,430000,0,932.0851885557174,0,0,0,hopper-stand,1,no-norm,1
84,9528,435000,0,920.2012352049351,0,0,0,hopper-stand,1,no-norm,1
85,9640,440000,0,912.7268717825413,0,0,0,hopper-stand,1,no-norm,1
86,9752,445000,0,917.1572603702546,0,0,0,hopper-stand,1,no-norm,1
87,9864,450000,0,923.0599031090736,0,0,0,hopper-stand,1,no-norm,1
88,9976,455000,0,914.2600360929966,0,0,0,hopper-stand,1,no-norm,1
89,10088,460000,0,922.8280024826527,0,0,0,hopper-stand,1,no-norm,1
90,10200,465000,0,818.6559148311615,0,0,0,hopper-stand,1,no-norm,1
91,10312,470000,0,920.2968825995922,0,0,0,hopper-stand,1,no-norm,1
92,10424,475000,0,778.6472273051738,0,0,0,hopper-stand,1,no-norm,1
93,10536,480000,0,919.3384118616581,0,0,0,hopper-stand,1,no-norm,1
94,10648,485000,0,941.7252847015858,0,0,0,hopper-stand,1,no-norm,1
95,10760,490000,0,827.5463253438472,0,0,0,hopper-stand,1,no-norm,1
96,10872,495000,0,932.1002878129482,0,0,0,hopper-stand,1,no-norm,1
0,120,15000,0,3.013213777542114,0,0,0,hopper-stand,2,no-norm,1
1,232,20000,0,2.19402836561203,0,0,0,hopper-stand,2,no-norm,1
2,344,25000,0,2.0789493024349213,0,0,0,hopper-stand,2,no-norm,1
3,456,30000,0,3.689495062828064,0,0,0,hopper-stand,2,no-norm,1
4,568,35000,0,2.075130373239517,0,0,0,hopper-stand,2,no-norm,1
5,680,40000,0,81.84874232411384,0,0,0,hopper-stand,2,no-norm,1
6,792,45000,0,11.323488384485245,0,0,0,hopper-stand,2,no-norm,1
7,904,50000,0,74.15006514787675,0,0,0,hopper-stand,2,no-norm,1
8,1016,55000,0,313.47697883248327,0,0,0,hopper-stand,2,no-norm,1
9,1128,60000,0,199.82144733071328,0,0,0,hopper-stand,2,no-norm,1
10,1240,65000,0,138.06250591278075,0,0,0,hopper-stand,2,no-norm,1
11,1352,70000,0,369.71534922719,0,0,0,hopper-stand,2,no-norm,1
12,1464,75000,0,269.34683228731154,0,0,0,hopper-stand,2,no-norm,1
13,1576,80000,0,432.36894810795786,0,0,0,hopper-stand,2,no-norm,1
14,1688,85000,0,384.8395417094231,0,0,0,hopper-stand,2,no-norm,1
15,1800,90000,0,816.7604899644851,0,0,0,hopper-stand,2,no-norm,1
16,1912,95000,0,660.548302590847,0,0,0,hopper-stand,2,no-norm,1
17,2024,100000,0,790.655396026373,0,0,0,hopper-stand,2,no-norm,1
18,2136,105000,0,694.7172095894814,0,0,0,hopper-stand,2,no-norm,1
19,2248,110000,0,791.151890784502,0,0,0,hopper-stand,2,no-norm,1
20,2360,115000,0,794.2614446401597,0,0,0,hopper-stand,2,no-norm,1
21,2472,120000,0,878.8296222865581,0,0,0,hopper-stand,2,no-norm,1
22,2584,125000,0,863.187648075819,0,0,0,hopper-stand,2,no-norm,1
23,2696,130000,0,907.958835631609,0,0,0,hopper-stand,2,no-norm,1
24,2808,135000,0,735.8422398924828,0,0,0,hopper-stand,2,no-norm,1
25,2920,140000,0,912.8760685265064,0,0,0,hopper-stand,2,no-norm,1
26,3032,145000,0,919.7478365659714,0,0,0,hopper-stand,2,no-norm,1
27,3144,150000,0,893.3776170670986,0,0,0,hopper-stand,2,no-norm,1
28,3256,155000,0,908.0190595924854,0,0,0,hopper-stand,2,no-norm,1
29,3368,160000,0,831.5632104098797,0,0,0,hopper-stand,2,no-norm,1
30,3480,165000,0,919.5797289311886,0,0,0,hopper-stand,2,no-norm,1
31,3592,170000,0,924.2372647047043,0,0,0,hopper-stand,2,no-norm,1
32,3704,175000,0,885.4568284630775,0,0,0,hopper-stand,2,no-norm,1
33,3816,180000,0,908.4434909880162,0,0,0,hopper-stand,2,no-norm,1
34,3928,185000,0,884.4789012670517,0,0,0,hopper-stand,2,no-norm,1
35,4040,190000,0,932.5806641221046,0,0,0,hopper-stand,2,no-norm,1
36,4152,195000,0,794.975648522377,0,0,0,hopper-stand,2,no-norm,1
37,4264,200000,0,910.0237459719181,0,0,0,hopper-stand,2,no-norm,1
38,4376,205000,0,843.9517297267914,0,0,0,hopper-stand,2,no-norm,1
39,4488,210000,0,934.2956565320492,0,0,0,hopper-stand,2,no-norm,1
40,4600,215000,0,884.7944474220276,0,0,0,hopper-stand,2,no-norm,1
41,4712,220000,0,933.2846077740193,0,0,0,hopper-stand,2,no-norm,1
42,4824,225000,0,934.6393634080887,0,0,0,hopper-stand,2,no-norm,1
43,4936,230000,0,698.4388254463672,0,0,0,hopper-stand,2,no-norm,1
44,5048,235000,0,928.7183223485947,0,0,0,hopper-stand,2,no-norm,1
45,5160,240000,0,739.0522040069103,0,0,0,hopper-stand,2,no-norm,1
46,5272,245000,0,824.3049958765507,0,0,0,hopper-stand,2,no-norm,1
47,5384,250000,0,827.2066017866134,0,0,0,hopper-stand,2,no-norm,1
48,5496,255000,0,904.7038622677326,0,0,0,hopper-stand,2,no-norm,1
49,5608,260000,0,912.5656101226807,0,0,0,hopper-stand,2,no-norm,1
50,5720,265000,0,743.7119007050991,0,0,0,hopper-stand,2,no-norm,1
