,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
0,120,15000,0,0.9416376217502265,0,0,0,humanoid-run,1,No iFSQ,1
1,232,20000,0,0.920633707047586,0,0,0,humanoid-run,1,No iFSQ,1
2,344,25000,0,0.9193377401700815,0,0,0,humanoid-run,1,No iFSQ,1
3,456,30000,0,1.0395690301176885,0,0,0,humanoid-run,1,No iFSQ,1
4,568,35000,0,0.9753755582709351,0,0,0,humanoid-run,1,No iFSQ,1
5,680,40000,0,0.8183715907730675,0,0,0,humanoid-run,1,No iFSQ,1
6,792,45000,0,1.0278968421010808,0,0,0,humanoid-run,1,No iFSQ,1
7,904,50000,0,0.5075128273430918,0,0,0,humanoid-run,1,No iFSQ,1
8,1016,55000,0,1.236700392422384,0,0,0,humanoid-run,1,No iFSQ,1
9,1128,60000,0,1.331536017927984,0,0,0,humanoid-run,1,No iFSQ,1
10,1240,65000,0,0.6569892826972137,0,0,0,humanoid-run,1,No iFSQ,1
11,1352,70000,0,0.9917188388675011,0,0,0,humanoid-run,1,No iFSQ,1
12,1464,75000,0,1.094807239351522,0,0,0,humanoid-run,1,No iFSQ,1
13,1576,80000,0,0.7424705569841206,0,0,0,humanoid-run,1,No iFSQ,1
14,1688,85000,0,0.6350083821061647,0,0,0,humanoid-run,1,No iFSQ,1
15,1800,90000,0,0.7606785266954297,0,0,0,humanoid-run,1,No iFSQ,1
16,1912,95000,0,0.6747087513991561,0,0,0,humanoid-run,1,No iFSQ,1
17,2024,100000,0,0.8537138935120228,0,0,0,humanoid-run,1,No iFSQ,1
18,2136,105000,0,0.48685578216595926,0,0,0,humanoid-run,1,No iFSQ,1
19,2248,110000,0,1.04891136325927,0,0,0,humanoid-run,1,No iFSQ,1
20,2360,115000,0,0.5788109406425794,0,0,0,humanoid-run,1,No iFSQ,1
21,2472,120000,0,0.7772610309866058,0,0,0,humanoid-run,1,No iFSQ,1
22,2584,125000,0,0.7034791512593063,0,0,0,humanoid-run,1,No iFSQ,1
23,2696,130000,0,1.074620097220502,0,0,0,humanoid-run,1,No iFSQ,1
24,2808,135000,0,0.7622433345721012,0,0,0,humanoid-run,1,No iFSQ,1
25,2920,140000,0,0.736810810826957,0,0,0,humanoid-run,1,No iFSQ,1
26,3032,145000,0,1.2422706764106028,0,0,0,humanoid-run,1,No iFSQ,1
27,3144,150000,0,0.8499450994092081,0,0,0,humanoid-run,1,No iFSQ,1
28,3256,155000,0,1.0495473924258523,0,0,0,humanoid-run,1,No iFSQ,1
29,3368,160000,0,0.7397692235188902,0,0,0,humanoid-run,1,No iFSQ,1
30,3480,165000,0,0.7448182386249513,0,0,0,humanoid-run,1,No iFSQ,1
31,3592,170000,0,1.1982611681068778,0,0,0,humanoid-run,1,No iFSQ,1
32,3704,175000,0,1.255833714496748,0,0,0,humanoid-run,1,No iFSQ,1
33,3816,180000,0,0.8637691802731334,0,0,0,humanoid-run,1,No iFSQ,1
34,3928,185000,0,1.0945966684992503,0,0,0,humanoid-run,1,No iFSQ,1
35,4040,190000,0,0.4571099323359422,0,0,0,humanoid-run,1,No iFSQ,1
36,4152,195000,0,1.0440742665797864,0,0,0,humanoid-run,1,No iFSQ,1
37,4264,200000,0,0.9623752017486652,0,0,0,humanoid-run,1,No iFSQ,1
38,4376,205000,0,0.9641820208401592,0,0,0,humanoid-run,1,No iFSQ,1
39,4488,210000,0,2.1819119428592435,0,0,0,humanoid-run,1,No iFSQ,1
40,4600,215000,0,3.416752587541481,0,0,0,humanoid-run,1,No iFSQ,1
41,4712,220000,0,10.250792701186693,0,0,0,humanoid-run,1,No iFSQ,1
42,4824,225000,0,14.887733068156885,0,0,0,humanoid-run,1,No iFSQ,1
43,4936,230000,0,2.0145185939667742,0,0,0,humanoid-run,1,No iFSQ,1
44,5048,235000,0,14.249665398921977,0,0,0,humanoid-run,1,No iFSQ,1
45,5160,240000,0,2.5488228665195374,0,0,0,humanoid-run,1,No iFSQ,1
46,5272,245000,0,30.481044705610163,0,0,0,humanoid-run,1,No iFSQ,1
47,5384,250000,0,40.07925104272182,0,0,0,humanoid-run,1,No iFSQ,1
48,5496,255000,0,34.868558434639844,0,0,0,humanoid-run,1,No iFSQ,1
49,5608,260000,0,40.343952417691085,0,0,0,humanoid-run,1,No iFSQ,1
50,5720,265000,0,43.52041243138275,0,0,0,humanoid-run,1,No iFSQ,1
51,5832,270000,0,58.65870775857936,0,0,0,humanoid-run,1,No iFSQ,1
52,5944,275000,0,61.16678866020042,0,0,0,humanoid-run,1,No iFSQ,1
53,6056,280000,0,50.80272892938002,0,0,0,humanoid-run,1,No iFSQ,1
54,6168,285000,0,69.09452018207267,0,0,0,humanoid-run,1,No iFSQ,1
55,6280,290000,0,71.76864786673495,0,0,0,humanoid-run,1,No iFSQ,1
56,6392,295000,0,70.21673040870601,0,0,0,humanoid-run,1,No iFSQ,1
57,6504,300000,0,75.35470740914144,0,0,0,humanoid-run,1,No iFSQ,1
58,6616,305000,0,77.18978787038093,0,0,0,humanoid-run,1,No iFSQ,1
59,6728,310000,0,70.22670366229222,0,0,0,humanoid-run,1,No iFSQ,1
60,6840,315000,0,59.82683455705707,0,0,0,humanoid-run,1,No iFSQ,1
61,6952,320000,0,83.97757378560183,0,0,0,humanoid-run,1,No iFSQ,1
62,7064,325000,0,88.5333777886597,0,0,0,humanoid-run,1,No iFSQ,1
63,7176,330000,0,79.9592055644822,0,0,0,humanoid-run,1,No iFSQ,1
64,7288,335000,0,83.94204239796528,0,0,0,humanoid-run,1,No iFSQ,1
65,7400,340000,0,94.6837573751971,0,0,0,humanoid-run,1,No iFSQ,1
66,7512,345000,0,74.13651532615964,0,0,0,humanoid-run,1,No iFSQ,1
67,7624,350000,0,88.46020903170027,0,0,0,humanoid-run,1,No iFSQ,1
68,7736,355000,0,89.53374082085985,0,0,0,humanoid-run,1,No iFSQ,1
69,7848,360000,0,87.65142858912891,0,0,0,humanoid-run,1,No iFSQ,1
70,7960,365000,0,88.35644706620289,0,0,0,humanoid-run,1,No iFSQ,1
71,8072,370000,0,93.27823198352344,0,0,0,humanoid-run,1,No iFSQ,1
72,8184,375000,0,95.16701466997408,0,0,0,humanoid-run,1,No iFSQ,1
73,8296,380000,0,88.21193040938508,0,0,0,humanoid-run,1,No iFSQ,1
74,8408,385000,0,93.23978693125342,0,0,0,humanoid-run,1,No iFSQ,1
75,8520,390000,0,98.17437770735691,0,0,0,humanoid-run,1,No iFSQ,1
76,8632,395000,0,100.98331330410417,0,0,0,humanoid-run,1,No iFSQ,1
77,8744,400000,0,94.44231289289898,0,0,0,humanoid-run,1,No iFSQ,1
78,8856,405000,0,101.97262481888112,0,0,0,humanoid-run,1,No iFSQ,1
79,8968,410000,0,95.1246342430297,0,0,0,humanoid-run,1,No iFSQ,1
80,9080,415000,0,92.34083625446475,0,0,0,humanoid-run,1,No iFSQ,1
81,9192,420000,0,101.6728663598417,0,0,0,humanoid-run,1,No iFSQ,1
82,9304,425000,0,103.8061353634293,0,0,0,humanoid-run,1,No iFSQ,1
83,9416,430000,0,100.98414431268611,0,0,0,humanoid-run,1,No iFSQ,1
84,9528,435000,0,103.19495146498177,0,0,0,humanoid-run,1,No iFSQ,1
85,9640,440000,0,96.98139519898993,0,0,0,humanoid-run,1,No iFSQ,1
86,9752,445000,0,89.33433716982077,0,0,0,humanoid-run,1,No iFSQ,1
87,9864,450000,0,110.33430068153014,0,0,0,humanoid-run,1,No iFSQ,1
88,9976,455000,0,107.12634492199058,0,0,0,humanoid-run,1,No iFSQ,1
89,10088,460000,0,106.51711277468765,0,0,0,humanoid-run,1,No iFSQ,1
90,10200,465000,0,107.23889537302969,0,0,0,humanoid-run,1,No iFSQ,1
91,10312,470000,0,108.23352742720309,0,0,0,humanoid-run,1,No iFSQ,1
92,10424,475000,0,109.16901938558055,0,0,0,humanoid-run,1,No iFSQ,1
93,10536,480000,0,110.96580595187936,0,0,0,humanoid-run,1,No iFSQ,1
94,10648,485000,0,114.5420287583631,0,0,0,humanoid-run,1,No iFSQ,1
95,10760,490000,0,106.59016513932745,0,0,0,humanoid-run,1,No iFSQ,1
96,10872,495000,0,113.23092783107188,0,0,0,humanoid-run,1,No iFSQ,1
97,10984,500000,0,117.64630659946549,0,0,0,humanoid-run,1,No iFSQ,1
98,11096,505000,0,122.34541010735173,0,0,0,humanoid-run,1,No iFSQ,1
99,11208,510000,0,111.1125699681058,0,0,0,humanoid-run,1,No iFSQ,1
100,11320,515000,0,118.13490952566977,0,0,0,humanoid-run,1,No iFSQ,1
101,11432,520000,0,118.00193903061752,0,0,0,humanoid-run,1,No iFSQ,1
102,11544,525000,0,116.34830011392998,0,0,0,humanoid-run,1,No iFSQ,1
