,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name
0,180,15000,0,0.7498859941959382,0,0,0,hopper-stand,1,iFSQ-RL+rec
1,352,20000,0,0.3213376760482788,0,0,0,hopper-stand,1,iFSQ-RL+rec
2,524,25000,0,3.1308535516262053,0,0,0,hopper-stand,1,iFSQ-RL+rec
3,696,30000,0,1.2155334055423737,0,0,0,hopper-stand,1,iFSQ-RL+rec
4,868,35000,0,0.4959793329238892,0,0,0,hopper-stand,1,iFSQ-RL+rec
5,1040,40000,0,0.0,0,0,0,hopper-stand,1,iFSQ-RL+rec
6,1212,45000,0,41.73567054271698,0,0,0,hopper-stand,1,iFSQ-RL+rec
7,1384,50000,0,80.4561998963356,0,0,0,hopper-stand,1,iFSQ-RL+rec
8,1556,55000,0,28.970060563087465,0,0,0,hopper-stand,1,iFSQ-RL+rec
9,1728,60000,0,242.57218644618987,0,0,0,hopper-stand,1,iFSQ-RL+rec
10,1900,65000,0,88.63415951728821,0,0,0,hopper-stand,1,iFSQ-RL+rec
11,2072,70000,0,53.97914192080498,0,0,0,hopper-stand,1,iFSQ-RL+rec
12,2244,75000,0,343.8238331019878,0,0,0,hopper-stand,1,iFSQ-RL+rec
13,2416,80000,0,500.1391340792179,0,0,0,hopper-stand,1,iFSQ-RL+rec
14,2588,85000,0,588.4225183963775,0,0,0,hopper-stand,1,iFSQ-RL+rec
15,2760,90000,0,828.5712725877762,0,0,0,hopper-stand,1,iFSQ-RL+rec
16,2932,95000,0,798.7158388674259,0,0,0,hopper-stand,1,iFSQ-RL+rec
17,3104,100000,0,763.9230146944523,0,0,0,hopper-stand,1,iFSQ-RL+rec
18,3276,105000,0,774.3464611113071,0,0,0,hopper-stand,1,iFSQ-RL+rec
19,3448,110000,0,732.3857350409031,0,0,0,hopper-stand,1,iFSQ-RL+rec
20,3620,115000,0,724.3344024181366,0,0,0,hopper-stand,1,iFSQ-RL+rec
21,3792,120000,0,846.3978070914745,0,0,0,hopper-stand,1,iFSQ-RL+rec
22,3964,125000,0,870.188433611393,0,0,0,hopper-stand,1,iFSQ-RL+rec
23,4136,130000,0,527.460482686758,0,0,0,hopper-stand,1,iFSQ-RL+rec
24,4308,135000,0,872.8814043223858,0,0,0,hopper-stand,1,iFSQ-RL+rec
25,4480,140000,0,871.1397793233394,0,0,0,hopper-stand,1,iFSQ-RL+rec
26,4652,145000,0,845.6339101433754,0,0,0,hopper-stand,1,iFSQ-RL+rec
27,4824,150000,0,774.8799084365368,0,0,0,hopper-stand,1,iFSQ-RL+rec
28,4996,155000,0,799.822348690033,0,0,0,hopper-stand,1,iFSQ-RL+rec
29,5168,160000,0,796.4192053318023,0,0,0,hopper-stand,1,iFSQ-RL+rec
30,5340,165000,0,832.2883547842503,0,0,0,hopper-stand,1,iFSQ-RL+rec
31,5512,170000,0,811.2761005878449,0,0,0,hopper-stand,1,iFSQ-RL+rec
32,5684,175000,0,815.3110003292561,0,0,0,hopper-stand,1,iFSQ-RL+rec
33,5856,180000,0,866.6698298156261,0,0,0,hopper-stand,1,iFSQ-RL+rec
34,6028,185000,0,794.2355028092861,0,0,0,hopper-stand,1,iFSQ-RL+rec
35,6200,190000,0,819.0804238140583,0,0,0,hopper-stand,1,iFSQ-RL+rec
36,6372,195000,0,826.4511185884476,0,0,0,hopper-stand,1,iFSQ-RL+rec
37,6544,200000,0,806.6107661008834,0,0,0,hopper-stand,1,iFSQ-RL+rec
38,6716,205000,0,890.4499012112617,0,0,0,hopper-stand,1,iFSQ-RL+rec
39,6888,210000,0,841.1310770511627,0,0,0,hopper-stand,1,iFSQ-RL+rec
40,7060,215000,0,927.4822933554649,0,0,0,hopper-stand,1,iFSQ-RL+rec
41,7232,220000,0,810.8975361704827,0,0,0,hopper-stand,1,iFSQ-RL+rec
42,7404,225000,0,840.1417896270752,0,0,0,hopper-stand,1,iFSQ-RL+rec
43,7576,230000,0,710.8354359924793,0,0,0,hopper-stand,1,iFSQ-RL+rec
44,7748,235000,0,892.6669865727424,0,0,0,hopper-stand,1,iFSQ-RL+rec
45,7920,240000,0,723.6727717161178,0,0,0,hopper-stand,1,iFSQ-RL+rec
46,8092,245000,0,922.0058230996132,0,0,0,hopper-stand,1,iFSQ-RL+rec
47,8264,250000,0,911.8197191834449,0,0,0,hopper-stand,1,iFSQ-RL+rec
48,8436,255000,0,865.2276178538799,0,0,0,hopper-stand,1,iFSQ-RL+rec
49,8608,260000,0,921.8270881831646,0,0,0,hopper-stand,1,iFSQ-RL+rec
50,8780,265000,0,923.7434775412082,0,0,0,hopper-stand,1,iFSQ-RL+rec
51,8952,270000,0,929.9400253713131,0,0,0,hopper-stand,1,iFSQ-RL+rec
52,9124,275000,0,903.1019757986069,0,0,0,hopper-stand,1,iFSQ-RL+rec
53,9296,280000,0,907.713553583622,0,0,0,hopper-stand,1,iFSQ-RL+rec
54,9468,285000,0,925.6979489028454,0,0,0,hopper-stand,1,iFSQ-RL+rec
55,9640,290000,0,900.7218195915223,0,0,0,hopper-stand,1,iFSQ-RL+rec
56,9812,295000,0,887.8037414252758,0,0,0,hopper-stand,1,iFSQ-RL+rec
57,9984,300000,0,937.7898901641369,0,0,0,hopper-stand,1,iFSQ-RL+rec
58,10156,305000,0,921.3909768342971,0,0,0,hopper-stand,1,iFSQ-RL+rec
59,10328,310000,0,889.6452204763889,0,0,0,hopper-stand,1,iFSQ-RL+rec
60,10500,315000,0,929.1507361888886,0,0,0,hopper-stand,1,iFSQ-RL+rec
61,10672,320000,0,845.5660155892372,0,0,0,hopper-stand,1,iFSQ-RL+rec
62,10844,325000,0,940.9986421704292,0,0,0,hopper-stand,1,iFSQ-RL+rec
63,11016,330000,0,921.1888424515724,0,0,0,hopper-stand,1,iFSQ-RL+rec
64,11188,335000,0,931.8473806560039,0,0,0,hopper-stand,1,iFSQ-RL+rec
65,11360,340000,0,912.658122831583,0,0,0,hopper-stand,1,iFSQ-RL+rec
66,11532,345000,0,933.0222137689591,0,0,0,hopper-stand,1,iFSQ-RL+rec
67,11704,350000,0,939.712993222475,0,0,0,hopper-stand,1,iFSQ-RL+rec
68,11876,355000,0,921.9152730882167,0,0,0,hopper-stand,1,iFSQ-RL+rec
69,12048,360000,0,940.2667270243168,0,0,0,hopper-stand,1,iFSQ-RL+rec
70,12220,365000,0,936.0045601844788,0,0,0,hopper-stand,1,iFSQ-RL+rec
71,12392,370000,0,939.6308632850647,0,0,0,hopper-stand,1,iFSQ-RL+rec
72,12564,375000,0,934.4294602394104,0,0,0,hopper-stand,1,iFSQ-RL+rec
73,12736,380000,0,937.2203013658524,0,0,0,hopper-stand,1,iFSQ-RL+rec
74,12908,385000,0,938.7270711362362,0,0,0,hopper-stand,1,iFSQ-RL+rec
75,13080,390000,0,931.9074222862721,0,0,0,hopper-stand,1,iFSQ-RL+rec
76,13252,395000,0,936.5035545289517,0,0,0,hopper-stand,1,iFSQ-RL+rec
77,13424,400000,0,943.6708233833313,0,0,0,hopper-stand,1,iFSQ-RL+rec
78,13596,405000,0,941.7212545514107,0,0,0,hopper-stand,1,iFSQ-RL+rec
79,13768,410000,0,932.7859532952309,0,0,0,hopper-stand,1,iFSQ-RL+rec
80,13940,415000,0,948.1478461742402,0,0,0,hopper-stand,1,iFSQ-RL+rec
81,14112,420000,0,942.0500698804856,0,0,0,hopper-stand,1,iFSQ-RL+rec
82,14284,425000,0,942.98077917099,0,0,0,hopper-stand,1,iFSQ-RL+rec
83,14456,430000,0,935.0754007041454,0,0,0,hopper-stand,1,iFSQ-RL+rec
84,14628,435000,0,932.144877409935,0,0,0,hopper-stand,1,iFSQ-RL+rec
85,14800,440000,0,917.66571611166,0,0,0,hopper-stand,1,iFSQ-RL+rec
86,14972,445000,0,916.9314838767052,0,0,0,hopper-stand,1,iFSQ-RL+rec
87,15144,450000,0,930.9793628275395,0,0,0,hopper-stand,1,iFSQ-RL+rec
88,15316,455000,0,924.810850328207,0,0,0,hopper-stand,1,iFSQ-RL+rec
89,15488,460000,0,941.7953706383705,0,0,0,hopper-stand,1,iFSQ-RL+rec
90,15660,465000,0,824.7024717092514,0,0,0,hopper-stand,1,iFSQ-RL+rec
91,15832,470000,0,931.9291671514511,0,0,0,hopper-stand,1,iFSQ-RL+rec
92,16004,475000,0,841.5957830429077,0,0,0,hopper-stand,1,iFSQ-RL+rec
93,16176,480000,0,939.6861099779605,0,0,0,hopper-stand,1,iFSQ-RL+rec
94,16348,485000,0,946.6637608468533,0,0,0,hopper-stand,1,iFSQ-RL+rec
95,16520,490000,0,841.4190774917603,0,0,0,hopper-stand,1,iFSQ-RL+rec
96,16692,495000,0,925.4097143530846,0,0,0,hopper-stand,1,iFSQ-RL+rec
0,180,15000,0,5.984439849853516,0,0,0,hopper-stand,2,iFSQ-RL+rec
1,352,20000,0,4.907743537425995,0,0,0,hopper-stand,2,iFSQ-RL+rec
2,524,25000,0,3.2188597559928893,0,0,0,hopper-stand,2,iFSQ-RL+rec
3,696,30000,0,2.6290789246559143,0,0,0,hopper-stand,2,iFSQ-RL+rec
4,868,35000,0,3.978892129659653,0,0,0,hopper-stand,2,iFSQ-RL+rec
5,1040,40000,0,7.505633276700974,0,0,0,hopper-stand,2,iFSQ-RL+rec
6,1212,45000,0,37.477258986234666,0,0,0,hopper-stand,2,iFSQ-RL+rec
7,1384,50000,0,189.36350175738335,0,0,0,hopper-stand,2,iFSQ-RL+rec
8,1556,55000,0,97.32512059211732,0,0,0,hopper-stand,2,iFSQ-RL+rec
9,1728,60000,0,74.69034031033516,0,0,0,hopper-stand,2,iFSQ-RL+rec
10,1900,65000,0,272.16510384082795,0,0,0,hopper-stand,2,iFSQ-RL+rec
11,2072,70000,0,216.08229532241822,0,0,0,hopper-stand,2,iFSQ-RL+rec
12,2244,75000,0,26.60195082426071,0,0,0,hopper-stand,2,iFSQ-RL+rec
13,2416,80000,0,109.85069310069085,0,0,0,hopper-stand,2,iFSQ-RL+rec
14,2588,85000,0,307.9860243141651,0,0,0,hopper-stand,2,iFSQ-RL+rec
15,2760,90000,0,138.13847739696502,0,0,0,hopper-stand,2,iFSQ-RL+rec
16,2932,95000,0,457.8289424836636,0,0,0,hopper-stand,2,iFSQ-RL+rec
17,3104,100000,0,414.99289578199387,0,0,0,hopper-stand,2,iFSQ-RL+rec
18,3276,105000,0,358.3161772727966,0,0,0,hopper-stand,2,iFSQ-RL+rec
19,3448,110000,0,392.29642565250396,0,0,0,hopper-stand,2,iFSQ-RL+rec
20,3620,115000,0,387.88177796602247,0,0,0,hopper-stand,2,iFSQ-RL+rec
21,3792,120000,0,583.9436170458794,0,0,0,hopper-stand,2,iFSQ-RL+rec
22,3964,125000,0,644.2293178319931,0,0,0,hopper-stand,2,iFSQ-RL+rec
23,4136,130000,0,737.89035872221,0,0,0,hopper-stand,2,iFSQ-RL+rec
24,4308,135000,0,817.4362344801426,0,0,0,hopper-stand,2,iFSQ-RL+rec
25,4480,140000,0,780.2892718434334,0,0,0,hopper-stand,2,iFSQ-RL+rec
26,4652,145000,0,767.1655305802822,0,0,0,hopper-stand,2,iFSQ-RL+rec
27,4824,150000,0,836.1818465054035,0,0,0,hopper-stand,2,iFSQ-RL+rec
28,4996,155000,0,783.7398684740067,0,0,0,hopper-stand,2,iFSQ-RL+rec
29,5168,160000,0,857.6501429617405,0,0,0,hopper-stand,2,iFSQ-RL+rec
30,5340,165000,0,865.9927595198154,0,0,0,hopper-stand,2,iFSQ-RL+rec
31,5512,170000,0,784.8413701415062,0,0,0,hopper-stand,2,iFSQ-RL+rec
32,5684,175000,0,848.6548853397369,0,0,0,hopper-stand,2,iFSQ-RL+rec
33,5856,180000,0,867.2145585536957,0,0,0,hopper-stand,2,iFSQ-RL+rec
34,6028,185000,0,866.7423388481141,0,0,0,hopper-stand,2,iFSQ-RL+rec
35,6200,190000,0,857.253668653965,0,0,0,hopper-stand,2,iFSQ-RL+rec
36,6372,195000,0,893.3474368393421,0,0,0,hopper-stand,2,iFSQ-RL+rec
37,6544,200000,0,855.7865934431553,0,0,0,hopper-stand,2,iFSQ-RL+rec
38,6716,205000,0,784.0308632850647,0,0,0,hopper-stand,2,iFSQ-RL+rec
39,6888,210000,0,873.1745976626873,0,0,0,hopper-stand,2,iFSQ-RL+rec
40,7060,215000,0,873.330158829689,0,0,0,hopper-stand,2,iFSQ-RL+rec
41,7232,220000,0,859.8803442418575,0,0,0,hopper-stand,2,iFSQ-RL+rec
42,7404,225000,0,891.5269745945931,0,0,0,hopper-stand,2,iFSQ-RL+rec
43,7576,230000,0,813.3253804206848,0,0,0,hopper-stand,2,iFSQ-RL+rec
44,7748,235000,0,872.1059176445008,0,0,0,hopper-stand,2,iFSQ-RL+rec
45,7920,240000,0,723.2992342889308,0,0,0,hopper-stand,2,iFSQ-RL+rec
46,8092,245000,0,810.2099716842174,0,0,0,hopper-stand,2,iFSQ-RL+rec
47,8264,250000,0,889.2046389698983,0,0,0,hopper-stand,2,iFSQ-RL+rec
48,8436,255000,0,854.5294025838375,0,0,0,hopper-stand,2,iFSQ-RL+rec
49,8608,260000,0,870.8506971716881,0,0,0,hopper-stand,2,iFSQ-RL+rec
50,8780,265000,0,776.3438750684261,0,0,0,hopper-stand,2,iFSQ-RL+rec
51,8952,270000,0,789.7952220618724,0,0,0,hopper-stand,2,iFSQ-RL+rec
52,9124,275000,0,915.9455131232738,0,0,0,hopper-stand,2,iFSQ-RL+rec
53,9296,280000,0,875.0276875734329,0,0,0,hopper-stand,2,iFSQ-RL+rec
54,9468,285000,0,897.7034020245076,0,0,0,hopper-stand,2,iFSQ-RL+rec
55,9640,290000,0,887.9156176865101,0,0,0,hopper-stand,2,iFSQ-RL+rec
56,9812,295000,0,806.2173588991166,0,0,0,hopper-stand,2,iFSQ-RL+rec
57,9984,300000,0,868.7283240318299,0,0,0,hopper-stand,2,iFSQ-RL+rec
58,10156,305000,0,916.1587751030922,0,0,0,hopper-stand,2,iFSQ-RL+rec
59,10328,310000,0,916.7875369489193,0,0,0,hopper-stand,2,iFSQ-RL+rec
60,10500,315000,0,900.0698766410351,0,0,0,hopper-stand,2,iFSQ-RL+rec
61,10672,320000,0,853.1077076911927,0,0,0,hopper-stand,2,iFSQ-RL+rec
62,10844,325000,0,882.6757536828518,0,0,0,hopper-stand,2,iFSQ-RL+rec
63,11016,330000,0,912.1436761021614,0,0,0,hopper-stand,2,iFSQ-RL+rec
64,11188,335000,0,919.9510410428047,0,0,0,hopper-stand,2,iFSQ-RL+rec
65,11360,340000,0,908.2842240691185,0,0,0,hopper-stand,2,iFSQ-RL+rec
66,11532,345000,0,897.9448211789131,0,0,0,hopper-stand,2,iFSQ-RL+rec
67,11704,350000,0,912.8805755972862,0,0,0,hopper-stand,2,iFSQ-RL+rec
68,11876,355000,0,919.6388233065605,0,0,0,hopper-stand,2,iFSQ-RL+rec
69,12048,360000,0,906.9483289003372,0,0,0,hopper-stand,2,iFSQ-RL+rec
70,12220,365000,0,909.4058511555195,0,0,0,hopper-stand,2,iFSQ-RL+rec
71,12392,370000,0,898.8136900365353,0,0,0,hopper-stand,2,iFSQ-RL+rec
72,12564,375000,0,897.8716711759567,0,0,0,hopper-stand,2,iFSQ-RL+rec
73,12736,380000,0,878.8416733026504,0,0,0,hopper-stand,2,iFSQ-RL+rec
74,12908,385000,0,903.7653337359428,0,0,0,hopper-stand,2,iFSQ-RL+rec
75,13080,390000,0,796.0794077157974,0,0,0,hopper-stand,2,iFSQ-RL+rec
76,13252,395000,0,890.9538988947868,0,0,0,hopper-stand,2,iFSQ-RL+rec
77,13424,400000,0,886.2098952949048,0,0,0,hopper-stand,2,iFSQ-RL+rec
78,13596,405000,0,901.8160720527172,0,0,0,hopper-stand,2,iFSQ-RL+rec
79,13768,410000,0,912.2954108178616,0,0,0,hopper-stand,2,iFSQ-RL+rec
80,13940,415000,0,903.0719267725945,0,0,0,hopper-stand,2,iFSQ-RL+rec
81,14112,420000,0,921.1858361124993,0,0,0,hopper-stand,2,iFSQ-RL+rec
82,14284,425000,0,907.6700202226639,0,0,0,hopper-stand,2,iFSQ-RL+rec
83,14456,430000,0,784.2110128581523,0,0,0,hopper-stand,2,iFSQ-RL+rec
84,14628,435000,0,816.1699286043644,0,0,0,hopper-stand,2,iFSQ-RL+rec
85,14800,440000,0,817.4350894510746,0,0,0,hopper-stand,2,iFSQ-RL+rec
86,14972,445000,0,915.8875091910362,0,0,0,hopper-stand,2,iFSQ-RL+rec
87,15144,450000,0,918.6588503301143,0,0,0,hopper-stand,2,iFSQ-RL+rec
88,15316,455000,0,928.3014561831951,0,0,0,hopper-stand,2,iFSQ-RL+rec
89,15488,460000,0,925.6046922624112,0,0,0,hopper-stand,2,iFSQ-RL+rec
90,15660,465000,0,778.4129079401494,0,0,0,hopper-stand,2,iFSQ-RL+rec
91,15832,470000,0,928.0701536476612,0,0,0,hopper-stand,2,iFSQ-RL+rec
92,16004,475000,0,917.5670946061612,0,0,0,hopper-stand,2,iFSQ-RL+rec
93,16176,480000,0,898.9718441963196,0,0,0,hopper-stand,2,iFSQ-RL+rec
94,16348,485000,0,911.9194375753402,0,0,0,hopper-stand,2,iFSQ-RL+rec
95,16520,490000,0,812.2477408707142,0,0,0,hopper-stand,2,iFSQ-RL+rec
96,16692,495000,0,886.8180128633976,0,0,0,hopper-stand,2,iFSQ-RL+rec
0,180,15000,0,0.9902799844741821,0,0,0,hopper-stand,3,iFSQ-RL+rec
1,352,20000,0,0.6937748908996582,0,0,0,hopper-stand,3,iFSQ-RL+rec
2,524,25000,0,0.8330150723457337,0,0,0,hopper-stand,3,iFSQ-RL+rec
3,696,30000,0,3.7696997821331024,0,0,0,hopper-stand,3,iFSQ-RL+rec
4,868,35000,0,4.082793974876404,0,0,0,hopper-stand,3,iFSQ-RL+rec
5,1040,40000,0,12.448058587312698,0,0,0,hopper-stand,3,iFSQ-RL+rec
6,1212,45000,0,5.025297206640244,0,0,0,hopper-stand,3,iFSQ-RL+rec
7,1384,50000,0,1.5419770896434783,0,0,0,hopper-stand,3,iFSQ-RL+rec
8,1556,55000,0,14.63246883749962,0,0,0,hopper-stand,3,iFSQ-RL+rec
9,1728,60000,0,10.326344120502473,0,0,0,hopper-stand,3,iFSQ-RL+rec
10,1900,65000,0,60.301601344347,0,0,0,hopper-stand,3,iFSQ-RL+rec
11,2072,70000,0,109.64978207349778,0,0,0,hopper-stand,3,iFSQ-RL+rec
12,2244,75000,0,133.04802220463753,0,0,0,hopper-stand,3,iFSQ-RL+rec
13,2416,80000,0,148.59545307159425,0,0,0,hopper-stand,3,iFSQ-RL+rec
14,2588,85000,0,69.2296169579029,0,0,0,hopper-stand,3,iFSQ-RL+rec
15,2760,90000,0,30.255742448568345,0,0,0,hopper-stand,3,iFSQ-RL+rec
16,2932,95000,0,38.71688050031662,0,0,0,hopper-stand,3,iFSQ-RL+rec
17,3104,100000,0,193.42708325386047,0,0,0,hopper-stand,3,iFSQ-RL+rec
18,3276,105000,0,603.199010848999,0,0,0,hopper-stand,3,iFSQ-RL+rec
19,3448,110000,0,649.168991625309,0,0,0,hopper-stand,3,iFSQ-RL+rec
20,3620,115000,0,664.9920020878315,0,0,0,hopper-stand,3,iFSQ-RL+rec
21,3792,120000,0,532.2864488065243,0,0,0,hopper-stand,3,iFSQ-RL+rec
22,3964,125000,0,641.9399628758431,0,0,0,hopper-stand,3,iFSQ-RL+rec
23,4136,130000,0,647.5920741319657,0,0,0,hopper-stand,3,iFSQ-RL+rec
24,4308,135000,0,604.7793997049332,0,0,0,hopper-stand,3,iFSQ-RL+rec
25,4480,140000,0,835.72554641366,0,0,0,hopper-stand,3,iFSQ-RL+rec
26,4652,145000,0,830.4415457785129,0,0,0,hopper-stand,3,iFSQ-RL+rec
27,4824,150000,0,514.3690953075886,0,0,0,hopper-stand,3,iFSQ-RL+rec
28,4996,155000,0,758.5120371818542,0,0,0,hopper-stand,3,iFSQ-RL+rec
29,5168,160000,0,714.4505892515183,0,0,0,hopper-stand,3,iFSQ-RL+rec
30,5340,165000,0,797.203365445137,0,0,0,hopper-stand,3,iFSQ-RL+rec
31,5512,170000,0,841.4564953505993,0,0,0,hopper-stand,3,iFSQ-RL+rec
32,5684,175000,0,825.8967919707299,0,0,0,hopper-stand,3,iFSQ-RL+rec
33,5856,180000,0,847.7943266749382,0,0,0,hopper-stand,3,iFSQ-RL+rec
34,6028,185000,0,899.7204578518867,0,0,0,hopper-stand,3,iFSQ-RL+rec
35,6200,190000,0,746.9300712347031,0,0,0,hopper-stand,3,iFSQ-RL+rec
36,6372,195000,0,874.8517770648002,0,0,0,hopper-stand,3,iFSQ-RL+rec
37,6544,200000,0,826.3306175231934,0,0,0,hopper-stand,3,iFSQ-RL+rec
38,6716,205000,0,852.8087037682533,0,0,0,hopper-stand,3,iFSQ-RL+rec
39,6888,210000,0,868.8386878848075,0,0,0,hopper-stand,3,iFSQ-RL+rec
40,7060,215000,0,791.5975925981999,0,0,0,hopper-stand,3,iFSQ-RL+rec
41,7232,220000,0,803.774832290411,0,0,0,hopper-stand,3,iFSQ-RL+rec
42,7404,225000,0,878.9463889300823,0,0,0,hopper-stand,3,iFSQ-RL+rec
43,7576,230000,0,872.9636325657368,0,0,0,hopper-stand,3,iFSQ-RL+rec
44,7748,235000,0,874.7400979995728,0,0,0,hopper-stand,3,iFSQ-RL+rec
45,7920,240000,0,869.2098183512687,0,0,0,hopper-stand,3,iFSQ-RL+rec
46,8092,245000,0,848.8391111671924,0,0,0,hopper-stand,3,iFSQ-RL+rec
47,8264,250000,0,869.7396933555603,0,0,0,hopper-stand,3,iFSQ-RL+rec
48,8436,255000,0,808.9543750405312,0,0,0,hopper-stand,3,iFSQ-RL+rec
49,8608,260000,0,863.379602354765,0,0,0,hopper-stand,3,iFSQ-RL+rec
50,8780,265000,0,864.8676053762435,0,0,0,hopper-stand,3,iFSQ-RL+rec
51,8952,270000,0,830.7729412078858,0,0,0,hopper-stand,3,iFSQ-RL+rec
52,9124,275000,0,868.0169040381909,0,0,0,hopper-stand,3,iFSQ-RL+rec
53,9296,280000,0,887.1969831109047,0,0,0,hopper-stand,3,iFSQ-RL+rec
54,9468,285000,0,901.8100125908852,0,0,0,hopper-stand,3,iFSQ-RL+rec
55,9640,290000,0,887.2390129745006,0,0,0,hopper-stand,3,iFSQ-RL+rec
56,9812,295000,0,920.44382006526,0,0,0,hopper-stand,3,iFSQ-RL+rec
57,9984,300000,0,893.9670567572117,0,0,0,hopper-stand,3,iFSQ-RL+rec
58,10156,305000,0,798.9418136358261,0,0,0,hopper-stand,3,iFSQ-RL+rec
59,10328,310000,0,807.9035633265972,0,0,0,hopper-stand,3,iFSQ-RL+rec
60,10500,315000,0,900.1463737845421,0,0,0,hopper-stand,3,iFSQ-RL+rec
61,10672,320000,0,942.7417579531669,0,0,0,hopper-stand,3,iFSQ-RL+rec
62,10844,325000,0,904.0246057510376,0,0,0,hopper-stand,3,iFSQ-RL+rec
63,11016,330000,0,901.262927633524,0,0,0,hopper-stand,3,iFSQ-RL+rec
64,11188,335000,0,934.8467401444912,0,0,0,hopper-stand,3,iFSQ-RL+rec
65,11360,340000,0,930.7068046033382,0,0,0,hopper-stand,3,iFSQ-RL+rec
66,11532,345000,0,924.2823342621326,0,0,0,hopper-stand,3,iFSQ-RL+rec
