,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name
0,180,15000,0,157.00409498440567,0,0,0,quadruped-run,1,iQRL+rec
1,352,20000,0,49.65271278978944,0,0,0,quadruped-run,1,iQRL+rec
2,524,25000,0,33.120491764270994,0,0,0,quadruped-run,1,iQRL+rec
3,696,30000,0,44.680973307354364,0,0,0,quadruped-run,1,iQRL+rec
4,868,35000,0,30.85678637400997,0,0,0,quadruped-run,1,iQRL+rec
5,1040,40000,0,41.36499181215186,0,0,0,quadruped-run,1,iQRL+rec
6,1212,45000,0,25.07027998092599,0,0,0,quadruped-run,1,iQRL+rec
7,1384,50000,0,110.58374119524997,0,0,0,quadruped-run,1,iQRL+rec
8,1556,55000,0,149.93291870117318,0,0,0,quadruped-run,1,iQRL+rec
9,1728,60000,0,43.95013155468623,0,0,0,quadruped-run,1,iQRL+rec
10,1900,65000,0,119.17953852763749,0,0,0,quadruped-run,1,iQRL+rec
11,2072,70000,0,83.91370829063143,0,0,0,quadruped-run,1,iQRL+rec
12,2244,75000,0,37.76087903240368,0,0,0,quadruped-run,1,iQRL+rec
13,2416,80000,0,85.93806025827288,0,0,0,quadruped-run,1,iQRL+rec
14,2588,85000,0,77.71012268074783,0,0,0,quadruped-run,1,iQRL+rec
15,2760,90000,0,101.29649422801086,0,0,0,quadruped-run,1,iQRL+rec
16,2932,95000,0,91.63104816640116,0,0,0,quadruped-run,1,iQRL+rec
17,3104,100000,0,207.40757493361042,0,0,0,quadruped-run,1,iQRL+rec
18,3276,105000,0,154.68097663203548,0,0,0,quadruped-run,1,iQRL+rec
19,3448,110000,0,233.19413113576303,0,0,0,quadruped-run,1,iQRL+rec
20,3620,115000,0,84.7228655959123,0,0,0,quadruped-run,1,iQRL+rec
21,3792,120000,0,182.23574427513685,0,0,0,quadruped-run,1,iQRL+rec
22,3964,125000,0,139.7036621072286,0,0,0,quadruped-run,1,iQRL+rec
23,4136,130000,0,334.4352691797658,0,0,0,quadruped-run,1,iQRL+rec
24,4308,135000,0,313.2035947013661,0,0,0,quadruped-run,1,iQRL+rec
