,_step,env_step,episode,episode_reward,time,eval_total_time,frame,env,seed,name,utd_ratio
0,180,15000,0,212.66234250721755,0,0,0,quadruped-run,1,iQRL,1
1,352,20000,0,99.19886726270178,0,0,0,quadruped-run,1,iQRL,1
2,524,25000,0,114.51717137231898,0,0,0,quadruped-run,1,iQRL,1
3,696,30000,0,178.20838304556386,0,0,0,quadruped-run,1,iQRL,1
4,868,35000,0,121.5312027390406,0,0,0,quadruped-run,1,iQRL,1
5,1040,40000,0,248.4075430371551,0,0,0,quadruped-run,1,iQRL,1
6,1212,45000,0,103.02551129371622,0,0,0,quadruped-run,1,iQRL,1
7,1384,50000,0,247.38334173460316,0,0,0,quadruped-run,1,iQRL,1
8,1556,55000,0,207.890081807159,0,0,0,quadruped-run,1,iQRL,1
9,1728,60000,0,165.8643901469768,0,0,0,quadruped-run,1,iQRL,1
10,1900,65000,0,161.9496869057328,0,0,0,quadruped-run,1,iQRL,1
11,2072,70000,0,232.84753036970505,0,0,0,quadruped-run,1,iQRL,1
12,2244,75000,0,153.7915920090987,0,0,0,quadruped-run,1,iQRL,1
13,2416,80000,0,200.20368863927578,0,0,0,quadruped-run,1,iQRL,1
14,2588,85000,0,236.4832239374693,0,0,0,quadruped-run,1,iQRL,1
15,2760,90000,0,354.45190208332787,0,0,0,quadruped-run,1,iQRL,1
16,2932,95000,0,345.40665265682037,0,0,0,quadruped-run,1,iQRL,1
17,3104,100000,0,360.4040246427321,0,0,0,quadruped-run,1,iQRL,1
18,3276,105000,0,339.19511406571837,0,0,0,quadruped-run,1,iQRL,1
19,3448,110000,0,329.6898494873218,0,0,0,quadruped-run,1,iQRL,1
20,3620,115000,0,498.48317605010817,0,0,0,quadruped-run,1,iQRL,1
21,3792,120000,0,441.3899483826332,0,0,0,quadruped-run,1,iQRL,1
22,3964,125000,0,469.8159448077844,0,0,0,quadruped-run,1,iQRL,1
23,4136,130000,0,460.7023528834907,0,0,0,quadruped-run,1,iQRL,1
24,4308,135000,0,475.1907122499921,0,0,0,quadruped-run,1,iQRL,1
25,4480,140000,0,426.6136316499789,0,0,0,quadruped-run,1,iQRL,1
26,4652,145000,0,466.62989494049106,0,0,0,quadruped-run,1,iQRL,1
27,4824,150000,0,433.1976175691947,0,0,0,quadruped-run,1,iQRL,1
28,4996,155000,0,477.51077531749905,0,0,0,quadruped-run,1,iQRL,1
29,5168,160000,0,535.9629772430475,0,0,0,quadruped-run,1,iQRL,1
30,5340,165000,0,558.4005020816694,0,0,0,quadruped-run,1,iQRL,1
31,5512,170000,0,614.1297443927731,0,0,0,quadruped-run,1,iQRL,1
32,5684,175000,0,607.4980003883829,0,0,0,quadruped-run,1,iQRL,1
33,5856,180000,0,642.9998244734248,0,0,0,quadruped-run,1,iQRL,1
34,6028,185000,0,636.8352749376907,0,0,0,quadruped-run,1,iQRL,1
35,6200,190000,0,655.7949978677382,0,0,0,quadruped-run,1,iQRL,1
36,6372,195000,0,679.9631733403658,0,0,0,quadruped-run,1,iQRL,1
37,6544,200000,0,682.465992817891,0,0,0,quadruped-run,1,iQRL,1
38,6716,205000,0,695.7107726676186,0,0,0,quadruped-run,1,iQRL,1
39,6888,210000,0,680.8219143217153,0,0,0,quadruped-run,1,iQRL,1
